"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","LM_gamma_sep","LM_gamma_eff","Turb_index","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_TKE","Residual_Omega","Residual_LM_intermittency","Residual_LM_RE_THETA_T","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.010890030316267e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.330367384130691e+04, 1.000000000000000e-10, 2.343620628133707e+07, 4.632761848152152e-01, 6.670796898987606e+02, 1.732146953652275e+04, 3.000728884304048e+02, 0.000000000000000e+00, 1.169504098702893e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846261119518988e-05, -6.648804037698009e-04, 8.104847895641322e-04, -3.919585767555704e+01, 2.893354238647428e+00, 0.000000000000000e+00, 4.632761848152152e-01, 1.318912675286786e+03, 8.580288860249477e-19, -4.214557523501284e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.111036667850528e-03, -0.000000000000000e+00, -0.000000000000000e+00, -2.498524587676817e-08, -7.446702108623312e-06, -2.406869585388945e+05, -1.487135615289536e+08, 8.852899432846851e-08, 3.988785988742228e+00, 8.852899432846851e-08, 3.988785988742228e+00, 8.950728414113881e+01, 1.934646394847032e+00, 1.191828015720826e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 1.728904231004551e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.711827579281155e+04, 1.000000000000000e-10, 2.606920172161646e+07, 5.923335940826562e-02, 6.038799169465452e+02, 1.484731031712461e+04, 2.991625275498661e+02, 0.000000000000000e+00, 5.860182973710009e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841950858812706e-05, 1.317542972423032e-03, 6.779209443923157e-03, -1.583410146405053e+03, 6.897195169925680e+00, 0.000000000000000e+00, 5.923335940826562e-02, 1.018088310106530e+02, 6.631992300798149e-19, -3.917957506845906e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.048680367791988e-03, -0.000000000000000e+00, -0.000000000000000e+00, -2.746117819093901e-09, -1.487363989692092e-05, -1.589879508187755e+06, -8.337597277434082e+08, 1.345221795740145e-07, 4.786543186490649e+00, 1.345221795740145e-07, 4.786543186490649e+00, 8.912460918129709e+01, 4.829284068574643e+00, 3.826516022335064e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 1.354644981996008e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.953044736121237e+04, 1.000000000000000e-10, 3.432170807691874e+07, 3.109336858791934e-01, 7.496395511632337e+02, 1.181217894448494e+04, 3.037629978741014e+02, 0.000000000000000e+00, -1.297626625718347e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.863667677634851e-05, -4.845413989139463e-04, 7.074875061798355e-04, -3.073557381975090e+02, 2.129239212124086e+00, 0.000000000000000e+00, 3.109336858791934e-01, 2.173209900088660e+04, 3.946856485462797e-19, 2.365005622098933e-08, -0.000000000000000e+00, -0.000000000000000e+00, -3.061227591199906e-02, -0.000000000000000e+00, -0.000000000000000e+00, 6.763708204201513e-07, -1.680378381786790e-04, 1.951127698123404e+05, -5.260759404489517e+07, 7.707786860326608e-08, 2.769990269959858e+00, 7.707786860326608e-08, 2.769990269959858e+00, 8.809562036213737e+01, 4.778986443742371e+00, 4.103502934401843e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 1.378230380457700e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.998989786420131e+04, 1.000000000000000e-10, 3.389788582842444e+07, 6.356571857828148e-01, 7.567352982365525e+02, 1.199595914568052e+04, 3.032099888513603e+02, 0.000000000000000e+00, -8.642141875745205e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.861065684465871e-05, 1.577507128677643e-04, 2.448604893707874e-04, -1.820159633018848e+02, 1.252628010907268e+00, 0.000000000000000e+00, 6.356571857828148e-01, 6.678836226437803e+04, 4.065776374773255e-19, 7.874883290331357e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.513734461287348e-02, -0.000000000000000e+00, -0.000000000000000e+00, -5.472129574943525e-07, -5.673853900457001e-05, 6.634703522750933e+04, -7.924886250667095e+06, 2.878978970481409e-08, 1.335836357040830e+00, 2.878978970481409e-08, 1.335836357040830e+00, 8.946205234992355e+01, 1.806627307266652e+00, 1.194886899803785e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.875234948489418e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.033483860581917e+04, 1.000000000000000e-10, 2.441912056587038e+07, 7.624496241067538e-02, 6.104726144165180e+02, 1.613393544232766e+04, 2.997194809681029e+02, 0.000000000000000e+00, 8.894456137324219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844588607429539e-05, 4.376786037059415e-03, -1.572722286705225e-04, -6.395540564159176e+02, 5.713202751087819e+00, 0.000000000000000e+00, 7.624496241067538e-02, 1.786299194491085e+02, 7.679340282716854e-19, 1.010334511409955e-08, -0.000000000000000e+00, -0.000000000000000e+00, 2.393032185081995e-03, -0.000000000000000e+00, -0.000000000000000e+00, 4.689952562679009e-09, 7.088618734762465e-06, 1.006827936920114e+06, -4.507505990914307e+08, 1.310123224051493e-07, 4.786543186490649e+00, 1.310123224051493e-07, 4.786543186490649e+00, 8.899591568721675e+01, 4.221139683296173e+00, 3.837449350062577e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 1.353246736307866e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.904539738015264e+04, 1.000000000000000e-10, 3.337688570734822e+07, 2.175397717763148e-02, 6.495792865904320e+02, 1.161815895206105e+04, 2.990822718120445e+02, 0.000000000000000e+00, -1.755187763523372e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841570568339087e-05, 4.553367995637715e-03, -5.018899899417941e-03, -1.430593813508376e+03, 6.044291077434560e+00, 0.000000000000000e+00, 2.175397717763148e-02, 9.759608882138330e+00, 4.054360838974808e-19, 3.751042856386516e-08, -0.000000000000000e+00, -0.000000000000000e+00, -1.866213959509921e-03, -0.000000000000000e+00, -0.000000000000000e+00, -3.854331067222095e-10, -1.609064241862011e-05, 1.560638188506047e+06, -1.494380105844727e+08, 1.089199276932261e-07, 3.988785988742228e+00, 1.089199276932261e-07, 3.988785988742228e+00, 8.934288935013288e+01, 4.133121621850619e+00, 4.088912888335626e+00
688, -3.361280624494327e-05, 4.508048606400442e-05, 2.003202267572987e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.313542862861951e+04, 1.000000000000000e-10, 2.353711952452602e+07, 3.717035431848949e-01, 6.633564687411931e+02, 1.725417145144779e+04, 3.000541593888683e+02, 0.000000000000000e+00, 1.153633059850504e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846172507796271e-05, -9.630392231219085e-04, 1.363939456112504e-03, -9.766546786866286e+01, 3.641397439658410e+00, 0.000000000000000e+00, 3.717035431848949e-01, 7.623419310841123e+02, 8.510841841838454e-19, -5.083715646415516e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.310552247231422e-03, -0.000000000000000e+00, -0.000000000000000e+00, -2.413243800652908e-08, -8.726902967359532e-06, -3.834899672561327e+05, -9.682935379130554e+07, 9.043259017959913e-08, 3.988785988742228e+00, 9.043259017959913e-08, 3.988785988742228e+00, 8.975911993735730e+01, 2.060895948701305e+00, 1.038222414779984e+00
689, -6.484109783259044e-05, 9.183357187137720e-05, 1.992611153901483e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.290356999534844e+04, 1.000000000000000e-10, 2.360467540521868e+07, 3.095909884415119e-01, 6.626371507145996e+02, 1.716142799813936e+04, 3.000276019845521e+02, 0.000000000000000e+00, 1.131761190106761e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846046853539879e-05, -1.197264567272619e-03, 1.939914611079511e-03, -1.817439440524620e+02, 4.245207569481555e+00, 0.000000000000000e+00, 3.095909884415119e-01, 5.246541610397771e+02, 8.441617365729687e-19, -5.472394291566076e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.393581553500141e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.864969760702202e-08, -9.112317361809460e-06, -5.236232439738592e+05, -1.138563773814087e+08, 9.044937796180739e-08, 3.988785988742228e+00, 9.044937796180739e-08, 3.988785988742228e+00, 8.991256841746362e+01, 2.059088584218717e+00, 1.037013292427784e+00
690, -9.263179551623211e-05, 1.407083053014280e-04, 1.977716723233536e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.257803366413022e+04, 1.000000000000000e-10, 2.370619206919607e+07, 2.617473295608579e-01, 6.582052858754910e+02, 1.703121346565208e+04, 2.999935047405029e+02, 0.000000000000000e+00, 1.101052442570342e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845885517191291e-05, -1.328286774920084e-03, 2.556337489797366e-03, -2.900757487018415e+02, 4.755155806495094e+00, 0.000000000000000e+00, 2.617473295608579e-01, 3.930192777233491e+02, 8.342640816035490e-19, -6.189447309026739e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.562992953112734e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.466846364918029e-08, -1.017646708162451e-05, -6.617758130052597e+05, -9.472277684448242e+07, 9.050645695527250e-08, 3.988785988742228e+00, 9.050645695527250e-08, 3.988785988742228e+00, 8.995955256628440e+01, 2.064285293714478e+00, 1.037038291138480e+00
691, -1.166503543332792e-04, 1.915424203007436e-04, 1.959376835556320e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.217744866644287e+04, 1.000000000000000e-10, 2.384241502687544e+07, 2.238741657814309e-01, 6.516540145724700e+02, 1.687097946657714e+04, 2.999526290241064e+02, 0.000000000000000e+00, 1.063264145593400e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845692095696404e-05, -1.364524422690831e-03, 3.167677504416967e-03, -4.150561156198371e+02, 5.178805137648400e+00, 0.000000000000000e+00, 2.238741657814309e-01, 3.123338325319938e+02, 8.218055238616718e-19, -6.495143299129893e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.629125293674462e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.150774203875836e-08, -1.055554964167637e-05, -7.923928275083649e+05, -6.703716041479492e+07, 9.049167021242248e-08, 3.988785988742228e+00, 9.049167021242248e-08, 3.988785988742228e+00, 8.995222240940629e+01, 2.061125599628665e+00, 1.036396986196254e+00
