"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.05622770009,      -3.115077836,      -1.579886206,       2.408730019,     -0.2584744748,       4.597152936,                         9,      -4.185542476,               3,      -4.476621782,                3,      -4.053789542,   2.025329093e-07,   1.230026799e-05,                12,              14.4,       14.26199618,          0.906068772,         -0.9217193335,                     0,      0.6643540984,      0.6999176392,                 0,       282.4080769,       300.0086051,                 0,       11989.46288,        12363.90092,                  0,         0.147898227,         0.1435661817,                    0,          308819.2822,           330987.1563,                     0,           185.9312194,           -194.8458357,                      0,         185.933116,         194.8458357,                   0,                124.5997177,                 145.2564283,                           0,              2.04019575e-05,              3.285527406e-11,                          nan,                       0.670131929,                       0.7454941377,                                nan,           307.3384236,            329.4025303,                      0,            16120.75974,             17148.72292,                       0,       1.371715886,      0.5196144214,                 0,                 0,                 0,      0.7592214298,      0.7892737429,       1.236386095,                 0,      0.3788061558
           1,     0.05718494998,      -3.310779592,      -1.002176016,       2.200666099,      -0.657256893,       4.254938421,                        10,      -3.797021662,               4,      -4.671756559,                4,      -4.481413049,   2.587338043e-07,   1.480981288e-05,                12,             17.28,       16.95424984,         0.9490602513,         -0.9217049652,                     0,      0.6755085133,      0.6998595288,                 0,       272.0333218,        300.032269,                 0,       12039.31161,        12365.48885,                  0,        0.1541823365,         0.1435732956,                    0,          298276.1512,           330995.6134,                     0,           186.8309078,           -194.8331441,                      0,        186.8290652,         194.8331441,                   0,                122.3873267,                 145.2557279,                           0,            -1.972425392e-05,              1.448952069e-11,                          nan,                      0.6550764816,                       0.7455391049,                                nan,            296.858909,            329.4236317,                      0,            16343.90555,             17150.03598,                       0,       2.629389802,       1.001202961,                 0,                 0,                 0,       1.482793094,       1.509836636,       2.374129616,                 0,      0.3807738813
           2,     0.05677230004,      -3.416001831,      -1.148919776,       2.108902994,      -1.021698086,       3.867176767,                        10,       -3.37868397,               4,      -4.128683071,                4,      -4.440706293,   2.561344999e-07,    1.79070516e-05,                12,            20.736,       20.21749868,         0.9867512382,         -0.9217110194,                     0,      0.7019365949,       0.699839839,                 0,       267.4534257,       300.0462389,                 0,       12148.87805,         12366.2113,                  0,         0.158248307,         0.1435749987,                    0,          295208.5854,           331001.0146,                     0,           189.2598887,           -194.8321127,                      0,        189.2554839,         194.8321127,                   0,                130.8940318,                 145.2551378,                           0,            -4.654724792e-05,             -1.347224554e-10,                          nan,                      0.6916260979,                       0.7455400232,                                nan,           293.8091121,            329.4373163,                      0,            16881.89573,             17150.73661,                       0,       3.837231924,        1.36419274,                 0,                 0,                 0,       2.200201898,       2.261323211,       3.387002805,                 0,         0.3555148
           3,     0.05665615003,      -3.534563677,      -1.295769163,       1.997146726,      -1.331801616,       3.557407001,                        10,      -2.872066642,               5,      -4.429253386,                4,      -4.393510843,   2.547797704e-07,   2.166399853e-05,               1.2,            2.0736,       2.021749868,          1.000861442,          -0.921726814,                     0,      0.7248861945,      0.6998445028,                 0,        266.497779,       300.0526652,                 0,       12192.30631,        12366.34614,                  0,        0.1593790614,         0.1435734893,                    0,          295910.2876,           331003.4532,                     0,           190.5931897,           -194.8374998,                      0,        190.5927441,         194.8374997,                   0,                141.2385988,                 145.2549757,                           0,            -4.675245422e-06,             -3.001087157e-10,                          nan,                      0.7410491904,                       0.7455185776,                                nan,           294.5059616,            329.4447638,                      0,            17298.62496,               17150.995,                       0,       4.992156451,       1.620524453,                 0,                 0,                 0,       2.916089408,        3.03412329,        4.28273527,                 0,      0.3246141159
           4,     0.05330889998,      -3.660170248,      -1.340093677,       1.861605253,      -1.601320928,       3.381922879,                         4,      -4.804031781,               2,      -4.133905838,                4,      -4.337282072,   2.540822698e-08,   2.181490559e-06,              1.44,           2.48832,       2.426099842,         0.9995951444,         -0.9217345425,                     0,      0.7277023304,       0.699846869,                 0,       267.0576284,       300.0563732,                 0,       12196.14819,         12366.4247,                  0,        0.1590936747,          0.143572627,                    0,          296752.6978,           331004.6399,                     0,           190.6902417,           -194.8403035,                      0,        190.6905732,         194.8403035,                   0,                143.0750519,                 145.2551019,                           0,             3.477500631e-06,             -3.552284022e-10,                          nan,                      0.7502995531,                       0.7455084973,                                nan,           295.3428355,            329.4490338,                      0,            17348.54158,             17151.14016,                       0,       5.288390134,       1.663661238,                 0,                 0,                 0,       3.100832001,       3.245856615,       4.494357992,                 0,      0.3145874634
           5,     0.05086174999,      -3.688750013,       -1.31437993,       1.829164707,      -1.654892283,       3.471404283,                         4,      -4.326363274,               2,        -4.0249759,                4,      -4.290905189,   3.052750707e-08,   2.620571975e-06,             1.728,          2.985984,        2.91131981,         0.9975781269,         -0.9217414974,                     0,      0.7300237504,      0.6998541479,                 0,       267.6703604,       300.0561346,                 0,       12196.78038,        12366.32367,                  0,        0.1587368494,         0.1435715683,                    0,          297615.5168,           331004.5978,                     0,           190.7319317,           -194.8432105,                      0,        190.7324398,         194.8432105,                   0,                144.7415458,                 145.2552699,                           0,             5.328100682e-06,             -4.172124868e-10,                          nan,                       0.758872198,                       0.7454982369,                                nan,           296.2013023,            329.4493832,                      0,            17386.28143,             17151.11145,                       0,       5.553197362,       1.696950806,                 0,                 0,                 0,       3.267823898,       3.438277918,       4.679304216,                 0,      0.3055808564
           6,     0.05005198571,      -3.725067249,      -1.291120357,       1.789112837,      -1.707935243,       3.494576722,                         5,      -4.821217865,               3,      -5.587379029,                4,       -4.25372204,   3.672567704e-08,   3.148350848e-06,            2.0736,         3.5831808,       3.493583772,         0.9948459532,         -0.9217479899,                     0,      0.7316579126,       0.699861882,                 0,       268.3352077,       300.0557834,                 0,       12194.35137,        12366.20502,                  0,        0.1583116055,         0.1435703589,                    0,          298483.3782,           331004.4404,                     0,           190.7206167,           -194.8462243,                      0,        190.7208939,         194.8462243,                   0,                146.1325224,                 145.2554828,                           0,             2.905901646e-06,             -4.795316366e-10,                          nan,                      0.7662113965,                       0.7454877984,                                nan,           297.0649408,            329.4496472,                      0,            17408.84821,             17151.06527,                       0,       5.748457837,       1.715113335,                 0,                 0,                 0,        3.39352172,       3.583978626,       4.810559059,                 0,      0.2983606011
           7,     0.04925716249,       -3.75353629,      -1.283147583,       1.757988167,      -1.761956273,       3.516460924,                         5,      -4.321601858,               3,      -5.314862574,                4,      -4.227853347,   4.425124611e-08,   3.782882748e-06,           2.48832,        4.29981696,       4.192300526,         0.9915275123,         -0.9217543764,                     0,      0.7324178145,      0.6998700544,                 0,       269.0486824,       300.0553278,                 0,       12189.60916,        12366.07399,                  0,        0.1578303085,         0.1435690556,                    0,          299337.0066,           331004.1849,                     0,           190.6649627,           -194.8493431,                      0,        190.6648249,          194.849343,                   0,                147.1371816,                 145.2557387,                           0,            -1.445566138e-06,              -5.37741518e-10,                          nan,                      0.7717059596,                       0.7454771797,                                nan,           297.9145319,            329.4498334,                      0,            17414.19468,             17151.00863,                       0,       5.839276471,       1.714412306,                 0,                 0,                 0,       3.455966005,       3.657213748,       4.864272491,                 0,      0.2936001258
           8,     0.04865811111,      -3.757407642,      -1.294737469,       1.753810104,       -1.81811545,        3.50983457,                         6,      -4.614548204,               3,      -5.030119448,                4,      -4.210959185,   5.340686605e-08,   4.546036395e-06,          2.985984,       5.159780352,       5.030760632,         0.9878353661,         -0.9217608321,                     0,      0.7321465053,      0.6998785676,                 0,       269.7988443,       300.0547757,                 0,       12183.74268,        12365.93539,                  0,        0.1573158304,         0.1435677106,                    0,          300149.9878,           331003.8432,                     0,           190.5770618,           -194.8525333,                      0,        190.5765112,         194.8525332,                   0,                147.6509095,                 145.2560314,                           0,            -5.778310935e-06,             -5.915498091e-10,                          nan,                      0.7747592217,                       0.7454664768,                                nan,           298.7237579,            329.4499424,                      0,            17401.43389,             17150.94668,                       0,        5.81050655,       1.694963397,                 0,                 0,                 0,       3.444951927,       3.645769883,       4.831485201,                 0,      0.2917066495
           9,     0.04805711999,      -3.743732709,      -1.321670357,       1.769287788,      -1.876317458,        3.39162633,                         6,      -4.135886985,               3,      -4.650410895,                4,      -4.201033073,   6.408810954e-08,   5.464309823e-06,         3.5831808,       6.191736422,       6.036912758,         0.9840348401,         -0.9217671914,                     0,       0.730753364,      0.6998871885,                 0,       270.5611087,       300.0541442,                 0,        12178.0977,        12365.79317,                  0,        0.1568000954,         0.1435663616,                    0,           300887.168,           331003.4264,                     0,           190.4685886,           -194.8557085,                      0,        190.4677413,         194.8557084,                   0,                  147.59443,                  145.256353,                           0,             -8.89661452e-06,             -6.417533172e-10,                          nan,                      0.7749051305,                       0.7454559795,                                nan,           299.4576086,            329.4499732,                      0,            17371.05045,             17150.88138,                       0,        5.68153164,       1.662376913,                 0,                 0,                 0,       3.371334665,       3.561835444,       4.728279502,                 0,      0.2925930926
