"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.05569340009,      -3.143371538,      -1.605763168,       2.380592604,       1.051452632,       5.906732961,                         9,      -4.171856365,               2,      -4.285476588,                4,      -4.606189207,   2.025487524e-07,   1.249648966e-05,                12,              14.4,       14.27905352,         0.8981033319,         -0.9144714938,                     0,      0.6627013701,       0.699915951,                 0,       282.2134574,       300.0088596,                 0,       11983.41005,         12363.9426,                  0,        0.1479253478,         0.1435665438,                    0,          308588.4353,           331093.6324,                     0,           184.2626938,            -193.313199,                      0,        184.2645436,          193.313199,                   0,                125.9346692,                 147.2891779,                           0,             2.007762554e-05,              2.446687297e-11,                          nan,                       0.683444936,                       0.7619199237,                                nan,           307.0028174,             329.402668,                      0,            16089.90224,              17148.7549,                       0,       1.377322397,      0.5111411909,                 0,                 0,                 0,      0.7603410453,      0.7858778087,       1.241240658,                 0,      0.3711122335
           1,     0.05686330004,      -3.339010691,      -1.034200403,       2.172702586,      0.5127266636,        5.37193776,                        10,      -3.807646168,               3,      -4.852021641,                4,      -4.505516658,   2.586595067e-07,   1.499411689e-05,                12,             17.28,       16.99465777,         0.9414420385,         -0.9145902206,                     0,      0.6738531787,      0.6998823687,                 0,       271.8402289,       300.0967338,                 0,        12040.0266,        12367.22868,                  0,        0.1543008709,         0.1435626506,                    0,          297997.0317,           331123.5686,                     0,           185.1889051,           -193.3435402,                      0,         185.187073,         193.3435402,                   0,                123.7338281,                 147.2888357,                           0,            -1.978560468e-05,              -1.34317002e-11,                          nan,                      0.6681558605,                       0.7617985869,                                nan,           296.5267567,            329.4963303,                      0,            16321.46597,              17152.7986,                       0,       2.642836905,      0.9894538986,                 0,                 0,                 0,       1.485831728,       1.502709087,       2.388612845,                 0,      0.3743908286
           2,     0.05708253337,      -3.444212513,       -1.18117431,       2.081047258,   -0.005658854767,       4.857998742,                        10,      -3.369110941,               3,      -4.193399662,                4,      -4.469558093,   2.560631394e-07,   1.801039334e-05,                12,            20.736,       20.28160203,         0.9790378729,         -0.9147430597,                     0,      0.7010373058,      0.6999638847,                 0,       267.2939569,        300.134437,                 0,        12153.1417,        12367.37866,                  0,        0.1583982241,         0.1435463569,                    0,           294997.548,           331137.4359,                     0,           187.6024642,           -193.3978001,                      0,        187.5984567,         193.3978002,                   0,                132.6301598,                 147.2895189,                           0,            -4.272242605e-05,              2.439155544e-10,                          nan,                      0.7069896101,                        0.761588388,                                nan,           293.5665934,            329.5445769,                      0,            16874.28462,             17154.25453,                       0,       3.858040391,       1.347247777,                 0,                 0,                 0,       2.205258836,       2.252552294,       3.409627603,                 0,      0.3492052027
           3,     0.05784592498,      -3.562655289,      -1.327482575,       1.969520691,     -0.4794836334,       4.391433201,                        10,      -2.876749709,               4,      -4.571963158,                4,       -4.46256404,    2.54705366e-07,   2.170559934e-05,               1.2,            2.0736,       2.028160203,         0.9927637446,         -0.9148776292,                     0,      0.7247708712,      0.7000794634,                 0,        266.360985,        300.146085,                 0,       12196.26977,        12366.17542,                  0,        0.1595125516,         0.1435268208,                    0,          295779.5106,           331141.6098,                     0,           188.8922689,           -193.4525797,                      0,         188.892316,         193.4525797,                   0,                 143.343864,                 147.2916257,                           0,             4.987465079e-07,              5.446303408e-10,                          nan,                      0.7588655112,                       0.7613836211,                                nan,           294.3460448,            329.5670799,                      0,            17302.46219,             17154.35512,                       0,       5.020793161,        1.59598678,                 0,                 0,                 0,       2.923698491,       3.026758336,       4.312107575,                 0,      0.3178754291
           4,     0.05472801998,       -3.68845815,      -1.370385009,        1.83416805,     -0.8973999905,       3.986692896,                         4,      -4.829182632,               2,       -4.25131445,                4,      -4.479862333,   2.539927518e-08,   2.169542401e-06,              1.44,           2.48832,       2.433792244,         0.9914190776,         -0.9149068311,                     0,      0.7276554501,      0.7000896053,                 0,       266.9295995,       300.1575316,                 0,       12200.04158,        12366.38248,                  0,         0.159220537,         0.1435237505,                    0,          296638.1957,           331145.0066,                     0,           188.9791423,           -193.4628929,                      0,        188.9798642,         193.4628929,                   0,                145.2101868,                 147.2915484,                           0,             7.639827299e-06,              2.732261084e-10,                          nan,                      0.7683897299,                       0.7613426337,                                nan,           295.1977152,             329.580501,                      0,            17353.35081,             17154.79766,                       0,       5.319895623,       1.636974481,                 0,                 0,                 0,       3.109662153,       3.239848342,       4.525964827,                 0,      0.3077080073
           5,     0.05275668332,      -3.717155212,      -1.344479675,       1.801734576,     -0.9944647439,         3.9079872,                         4,      -4.345778685,               2,      -4.013179492,                4,      -4.446467323,   3.051632156e-08,   2.606084911e-06,             1.728,          2.985984,       2.920550693,         0.9893536852,         -0.9149315312,                     0,      0.7300324735,      0.7001140988,                 0,       267.5546833,       300.1565619,                 0,       12200.86615,        12366.02043,                  0,         0.158858364,         0.1435200122,                    0,          297519.3668,           331144.4046,                     0,            189.014074,           -193.4731551,                      0,        189.0148872,         193.4731551,                   0,                146.8995909,                 147.2914643,                           0,             8.603876648e-06,              8.527845097e-12,                          nan,                      0.7771852954,                       0.7613018158,                                nan,           296.0740467,            329.5814951,                      0,            17392.24251,             17154.67048,                       0,       5.587545489,       1.668260475,                 0,                 0,                 0,       3.277926945,       3.433797763,       4.713044719,                 0,      0.2985676767
           6,     0.05154985715,      -3.753661523,      -1.320909346,       1.761594906,      -1.090934832,       3.831744639,                         5,       -4.82000183,               3,      -5.576864444,                4,      -4.417562489,   3.671163363e-08,   3.130883695e-06,            2.0736,         3.5831808,       3.504660831,         0.9866041218,         -0.9149525198,                     0,      0.7317008493,      0.7001385521,                 0,       268.2349765,       300.1551466,                 0,       12198.84613,        12365.60463,                  0,        0.1584287838,         0.1435158632,                    0,          298407.0263,           331143.3299,                     0,           188.9999942,           -193.4831868,                      0,         189.000509,         193.4831868,                   0,                148.3026524,                 147.2913616,                           0,             5.448351035e-06,             -2.895977902e-10,                          nan,                      0.7846680054,                        0.761261813,                                nan,           296.9573883,            329.5819965,                      0,            17415.93403,             17154.46812,                       0,       5.785300783,       1.684860528,                 0,                 0,                 0,       3.404818904,       3.581047415,       4.846087035,                 0,      0.2912312758
           7,       0.050606025,      -3.782321356,      -1.312623824,       1.730283962,      -1.187877023,       3.763899579,                         5,      -4.322983127,               3,      -5.245409689,                4,      -4.399478466,   4.423352704e-08,   3.761875538e-06,           2.48832,        4.29981696,       4.205592998,         0.9832928585,          -0.914971058,                     0,      0.7324617243,      0.7001623459,                 0,       268.9666616,       300.1534446,                 0,       12194.65365,        12365.17038,                  0,        0.1579434134,          0.143511637,                    0,          299280.8018,           331141.9519,                     0,           188.9454241,           -193.4928049,                      0,        188.9454685,         193.4928048,                   0,                149.3041115,                  147.291232,                           0,             4.702818868e-07,             -6.803219099e-10,                          nan,                      0.7901968367,                        0.761223303,                                nan,           297.8271961,            329.5821278,                      0,            17422.07484,             17154.23006,                       0,       5.877921829,       1.683328112,                 0,                 0,                 0,       3.468223076,       3.655653628,       4.900995319,                 0,      0.2863815072
           8,     0.05024017779,      -3.786235613,      -1.323962424,       1.725939477,      -1.285968028,       3.696067965,                         6,      -4.637822445,               3,      -4.926786759,                4,      -4.386723974,   5.338439744e-08,    4.52072393e-06,          2.985984,       5.159780352,       5.046711597,         0.9796211811,          -0.914988133,                     0,      0.7321460951,      0.7001847085,                 0,       269.7372259,       300.1516453,                 0,       12189.36988,        12364.75441,                  0,        0.1574241093,         0.1435076695,                    0,          300112.7509,           331140.4513,                     0,           188.8618062,           -193.5017654,                      0,        188.8613877,         193.5017652,                   0,                149.7950749,                 147.2910804,                           0,            -4.431900834e-06,             -1.200350819e-09,                          nan,                      0.7931482276,                       0.7611872696,                                nan,           298.6555328,            329.5820319,                      0,            17409.42863,             17153.99543,                       0,       5.850036228,       1.663927279,                 0,                 0,                 0,       3.457814318,       3.645228052,        4.86866412,                 0,      0.2844302521
           9,     0.05071872999,      -3.772450783,      -1.350676656,       1.741381673,      -1.385256705,        3.58806699,                         6,      -4.189456701,               3,      -4.582482372,                4,       -4.37605466,   6.407316939e-08,   5.433694601e-06,         3.5831808,       6.191736422,       6.056053916,         0.9758425684,         -0.9150038084,                     0,      0.7306548646,      0.7002046327,                 0,       270.5211367,       300.1499604,                 0,       12184.22745,        12364.38882,                  0,        0.1569019247,          0.143504232,                    0,          300865.9937,           331139.0026,                     0,           188.7599386,           -193.5097158,                      0,        188.7591785,         193.5097156,                   0,                149.6932888,                 147.2909336,                           0,            -8.054528455e-06,             -1.801497285e-09,                          nan,                      0.7930384631,                        0.761155238,                                nan,           299.4056413,            329.5818568,                      0,            17378.18751,             17153.79335,                       0,       5.721049825,       1.632147939,                 0,                 0,                 0,       3.384416762,       3.561880701,       4.765220234,                 0,      0.2852881881
