"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
          10,     0.04561736365,      -3.728432815,      -1.344792192,       1.788681663,      -1.939179062,       3.258890644,                         7,      -4.311151237,               3,      -4.179094684,                4,      -4.065854162,   7.684692278e-08,   6.728433725e-06,        4.29981696,       7.430083707,       7.239732642,         0.9468181514,         -0.8896542136,                     0,      0.7305191655,      0.6998969541,                 0,       271.0726972,       300.0533865,                 0,       12175.43175,        12365.65466,                  0,          0.15647013,          0.143565116,                    0,          301437.2155,           331002.9682,                     0,           183.6508318,           -188.0688614,                      0,        183.6510661,         188.0688613,                   0,                156.2293592,                 153.9472566,                           0,             2.551405154e-06,             -8.326940248e-10,                          nan,                      0.8506858279,                        0.818568558,                                nan,           300.0053438,            329.4499616,                      0,            17363.45597,             17150.83874,                       0,       5.667738665,        1.49405941,                 0,                 0,                 0,       3.319584882,       3.439615425,       4.746000508,                 0,      0.2636076746
          11,     0.04565172501,      -3.725887109,      -1.350011723,       1.794268194,      -2.006317069,       3.116117606,                         8,      -4.374155567,               4,        -4.9496298,                4,      -4.060528281,   9.243435841e-08,   8.063468856e-06,       5.159780352,       8.916100448,        8.68767917,         0.9437432154,         -0.8896593323,                     0,      0.7269528093,      0.6999043292,                 0,       271.7832413,       300.0527843,                 0,       12173.73048,        12365.52515,                  0,        0.1560392775,         0.1435639005,                    0,          301943.3396,           331002.5122,                     0,           183.5590715,           -188.0715357,                      0,        183.5591558,         188.0715357,                   0,                155.0031799,                 153.9476476,                           0,             9.189979666e-07,             -8.752516489e-10,                          nan,                       0.844431754,                       0.8185589972,                                nan,           300.5093164,              329.44992,                      0,            17304.12606,               17150.772,                       0,       5.494415486,       1.469830501,                 0,                 0,                 0,       3.216025214,       3.320837106,       4.617471618,                 0,      0.2675135336
          12,     0.04588528461,      -3.719903609,      -1.335669925,       1.802710137,        -2.0777872,       2.970208691,                         9,      -4.356157854,               4,      -4.513133045,                4,      -4.053813949,    1.11519663e-07,    9.66398424e-06,       6.191736422,       10.69932054,         10.425215,         0.9412030488,         -0.8896631518,                     0,      0.7225997123,       0.699910412,                 0,       272.3602521,        300.052365,                 0,       12173.50808,        12365.41821,                  0,        0.1557057918,         0.1435628595,                    0,          302238.7718,           331002.1783,                     0,           183.4559084,           -188.0737069,                      0,        183.4559944,         188.0737068,                   0,                  153.28426,                 153.9480619,                           0,             9.384747277e-07,             -8.771257054e-10,                          nan,                      0.8355369389,                         0.81855175,                                nan,           300.8036113,            329.4499706,                      0,            17234.84066,             17150.71678,                       0,       5.367145861,       1.457764163,                 0,                 0,                 0,       3.139285523,       3.229993341,       4.527524055,                 0,      0.2716088217
          13,     0.04617380715,      -3.704320876,      -1.307930139,       1.822507813,      -2.152700688,       2.835946133,                        10,      -4.316972186,               4,      -4.109562452,                4,      -4.049589351,   1.348461895e-07,     1.1585537e-05,       7.430083707,       12.83918465,       12.50713003,         0.9394257756,         -0.8896659197,                     0,      0.7180805108,      0.6999149193,                 0,       272.7437908,       300.0522201,                 0,       12174.43335,        12365.34474,                  0,        0.1554984869,         0.1435620759,                    0,           302307.151,            331002.048,                     0,            183.352317,           -188.0753186,                      0,        183.3525214,         188.0753185,                   0,                151.3317432,                 153.9484713,                           0,             2.229594021e-06,             -8.278292496e-10,                          nan,                      0.8253594884,                       0.8185469124,                                nan,           300.8719033,            329.4501901,                      0,             17165.1036,             17150.68387,                       0,       5.308039976,       1.458499551,                 0,                 0,                 0,         3.1033087,        3.18378905,       4.490656591,                 0,      0.2747717723
          14,     0.04654032667,      -3.680618188,      -1.270276845,       1.852280118,      -2.229919023,       2.723772437,                        10,      -3.853141122,               5,       -4.59730393,                4,      -4.045672709,   1.631936065e-07,   1.389648041e-05,       8.916100448,       15.40702157,       14.97141127,         0.9385776215,         -0.8896680312,                     0,       0.714157925,      0.6999177576,                 0,       272.8996461,       300.0523718,                 0,       12175.96995,        12365.31009,                  0,        0.1554290421,         0.1435616011,                    0,          302171.3583,           331002.1402,                     0,           183.2676416,            -188.076387,                      0,        183.2679475,          188.076387,                   0,                149.4947733,                  153.948819,                           0,             3.338862385e-06,             -7.245992695e-10,                          nan,                      0.8157169614,                       0.8185441114,                                nan,           300.7369346,            329.4505951,                      0,            17106.05029,             17150.67925,                       0,       5.300828414,       1.467655062,                 0,                 0,                 0,       3.098217528,       3.172409528,       4.493173827,                 0,      0.2768727729
          15,       0.046821075,      -3.653653071,      -1.225043249,       1.885946971,      -2.314313885,       2.626628593,                        10,       -3.46931944,               5,      -4.183842776,                4,      -4.046111897,   1.974249754e-07,   1.667942529e-05,       10.69932054,       18.48842589,       17.91531741,         0.9386920007,         -0.8896696766,                     0,      0.7115573688,      0.6999189795,                 0,       272.8355793,       300.0527611,                 0,        12177.3708,        12365.31102,                  0,         0.155483157,         0.1435614255,                    0,          301896.7925,           331002.3952,                     0,           183.2258002,           -188.0769648,                      0,        183.2260408,         188.0769648,                   0,                148.1360868,                  153.949032,                           0,             2.626582805e-06,             -5.726397134e-10,                          nan,                      0.8084881722,                       0.8185427289,                                nan,           300.4637899,            329.4511252,                      0,            17067.65386,             17150.69924,                       0,        5.30804717,        1.47978441,                 0,                 0,                 0,        3.10072955,       3.170313195,       4.507132227,                 0,      0.2787813225
          16,     0.04717661765,      -3.633155621,      -1.185636655,       1.910335908,      -2.402899765,        2.53541774,                        10,      -3.113059039,               6,      -4.479659623,                4,      -4.048532083,   2.386368301e-07,   2.004852992e-05,       12.83918465,       22.18611107,       21.41328106,          0.939609368,         -0.8896707635,                     0,      0.7107383958,      0.6999187279,                 0,       272.6062694,       300.0532898,                 0,       12177.60344,         12365.3382,                  0,        0.1556167372,         0.1435614882,                    0,          301579.1331,            331002.716,                     0,           183.2475541,           -188.0771125,                      0,         183.247532,         188.0771125,                   0,                147.5191047,                 153.9490517,                           0,            -2.409460796e-07,              -3.94598576e-10,                          nan,                      0.8050264203,                       0.8185421905,                                nan,           300.1476956,            329.4516846,                      0,            17055.29672,             17150.73309,                       0,       5.296959766,       1.492401239,                 0,                 0,                 0,       3.089920286,       3.153742057,       4.509873086,                 0,      0.2817467575
          17,     0.04746771667,      -3.627018553,       -1.16704207,       1.914221326,      -2.494135001,       2.447098334,                        10,      -2.764740605,               6,      -4.033063023,                4,       -4.06232625,   2.883509566e-07,   2.416751622e-05,       1.283918465,       2.218611107,       2.141328106,         0.9409918604,         -0.8896711414,                     0,      0.7117088753,      0.6999172309,                 0,       272.3009216,       300.0538762,                 0,       12175.62892,        12365.38138,                  0,        0.1557659375,         0.1435617089,                    0,          301316.9703,           331003.0306,                     0,           183.3415539,           -188.0769032,                      0,        183.3412387,         188.0769031,                   0,                147.7038793,                 153.9488617,                           0,            -3.438241668e-06,             -2.405404764e-10,                          nan,                      0.8056227849,                       0.8185420916,                                nan,           299.8867837,            329.4522026,                      0,            17067.52725,             17150.77007,                       0,       5.248053471,       1.506879103,                 0,                 0,                 0,       3.052610053,       3.106726398,       4.490100328,                 0,      0.2871310498
          18,     0.04692547369,      -3.641858034,      -1.176560411,       1.892400502,      -2.580602811,       2.352228002,                         4,      -4.519318732,               3,      -5.617880676,                4,      -4.016776562,   2.906557253e-08,   2.424219514e-06,       1.540702157,       2.662333328,       2.569593728,         0.9413969529,         -0.8896710196,                     0,      0.7124127388,      0.6999161283,                 0,       272.2319934,       300.0543157,                 0,       12175.80571,        12365.41076,                  0,        0.1558076399,         0.1435618398,                    0,          301295.5782,           331003.2497,                     0,           183.3713216,            -188.076706,                      0,        183.3709994,          188.076706,                   0,                147.9905281,                 153.9487791,                           0,             -3.51424564e-06,             -2.244915365e-10,                          nan,                      0.8070552519,                       0.8185425105,                                nan,           299.8654691,            329.4525926,                      0,            17078.65517,             17150.79394,                       0,       5.245385391,       1.507771419,                 0,                 0,                 0,       3.050224847,       3.104096554,       4.489100927,                 0,      0.2874472143
          19,        0.04650968,      -3.658102413,      -1.193136384,        1.87188402,      -2.600004786,       2.337935997,                         4,      -4.127820435,               3,      -5.246788513,                4,       -4.00632634,   3.490717169e-08,   2.910063218e-06,       1.848842589,       3.194799994,       3.083512473,         0.9418011044,          -0.889670799,                     0,       0.713205583,      0.6999152092,                 0,       272.1602304,        300.054528,                 0,       12175.63029,        12365.43048,                  0,        0.1558464822,         0.1435619671,                    0,          301278.0229,           331003.3865,                     0,           183.4042191,           -188.0764926,                      0,        183.4039099,         188.0764925,                   0,                148.3178195,                 153.9486717,                           0,            -3.371353769e-06,             -2.118129006e-10,                          nan,                      0.8086949705,                       0.8185428686,                                nan,           299.8479644,            329.4527485,                      0,            17090.68361,             17150.80722,                       0,       5.240344608,       1.508846529,                 0,                 0,                 0,       3.046220744,       3.099514839,       4.486740155,                 0,      0.2879288752
