s,inc_-2.0,inc_-1.8,inc_-1.6,inc_-1.4,inc_-1.2,inc_-1.0,inc_-0.8,inc_-0.6,inc_-0.4,inc_-0.2,inc_-0.0,inc_+0.2,inc_+0.4,inc_+0.6,inc_+0.8,inc_+1.0,inc_+1.2,inc_+1.4,inc_+1.6,inc_+1.8,inc_+2.0
0.3327849044883305,0.2905909342408636,0.2950400040041791,0.28897117296483193,0.2828629506004713,0.28133212610264435,0.27858942723185814,0.27849403334077866,0.2698050937205596,0.2684170171950171,0.27009459774574085,0.26697296869110343,0.26426515232111847,0.26227556878724473,0.25735963457462724,0.2596129212009256,0.258498593589501,0.25763491631680535,0.25187398967071173,0.25518392238786697,0.25389879681086513,0.24814301060570323
0.32943080794794516,0.29082332365441843,0.29521583688028635,0.2893698842568767,0.2841602006280832,0.28208899876865745,0.2794221369723236,0.2792458404338467,0.2705962837539858,0.2695508053214216,0.27082562952416744,0.26767634689462194,0.2648748361162458,0.2628567895648186,0.25782051717518384,0.2600270181973518,0.25886661626155294,0.25791362398019807,0.25201776204393334,0.25534255193577665,0.2540071192683703,0.24824839348722832
0.32607671173120983,0.2910429328364216,0.295200482472854,0.2896798282572888,0.28529557203222566,0.2827550213956836,0.2801718473473927,0.2799223617292614,0.2713379001480179,0.27064431880728046,0.2715187898115715,0.26836108748251264,0.26548716059582833,0.26345181853871635,0.2583029921704598,0.26046139269540347,0.25926328079842625,0.25822986609848003,0.25220659254042294,0.25553665678089715,0.2541564201325101,0.24839851576072894
0.3227226151731296,0.29125007261912433,0.29505385528115047,0.2899261153158061,0.286249101326676,0.28333949564115374,0.2808437046896495,0.2805227885496816,0.27202709624947136,0.27168253773690465,0.27216943674777094,0.2690209064786038,0.26609475633191504,0.26405344621755555,0.2588010240384844,0.2609104414160701,0.2596817685867619,0.25857858370374137,0.2524383177603981,0.2557619915943641,0.2543438026259934,0.2485900575750036
0.31936851920558895,0.2914449727997823,0.2948283003712202,0.2901320201881827,0.2870051395986808,0.2838541436241206,0.281446257857487,0.2810494820699307,0.2726640677445798,0.2726566362941143,0.27277544941926984,0.26965095641670406,0.2666923870706464,0.26465447834004396,0.25930736691588224,0.26136735434434627,0.26011410922505207,0.2589528952789631,0.2527081908071351,0.2560138355763495,0.2545635976142291,0.24881761913171782
0.3160144232822325,0.2916242521660254,0.294574462547926,0.2903116464510118,0.2875656829605611,0.2843074271998629,0.2819863451828686,0.2815047610064229,0.2732495316973964,0.2735594380397392,0.27333645246573646,0.2702489697784405,0.26727693720888285,0.26525028525992006,0.2598185071237788,0.26182960029561475,0.26055609106927485,0.25934990017299575,0.2530156432322927,0.2562899696352129,0.25481517752946165,0.24907974453307585
0.31266032768221097,0.29178570705794415,0.29432950792845797,0.29047317659691624,0.287942118781803,0.28470921117765985,0.2824732786569669,0.2818924274516527,0.2737844867270672,0.27438454566524684,0.27385244182900953,0.27081201338668676,0.26784425066294915,0.26583476384533594,0.26032795884409216,0.26229173634204983,0.2610003283086804,0.2597626331884887,0.2533550509026741,0.2565850220278951,0.25509263089483036,0.24936966289208554
0.3093062319473323,0.2919262706103826,0.2941071406438377,0.2906201462149248,0.28815029578874535,0.28506388267849864,0.2829116145429229,0.2822171271453805,0.27427182234065955,0.2751336896775772,0.2743255162337207,0.2713399007709491,0.2683922727064757,0.2664045273314041,0.26083279788368485,0.262751710996355,0.2614433209862348,0.2601879393164263,0.25372450196377894,0.25689745929081254,0.25539442182062383,0.24968634308799556
0.3059521363786961,0.2920432688385643,0.293923495616245,0.2907525038262859,0.288216413420635,0.2853756739393364,0.2833061486149524,0.2824832333791387,0.2747121433565465,0.2758043166330472,0.27475703240944743,0.27183132834836404,0.26891777932368804,0.26695535370816315,0.26132899514385993,0.2632061665871279,0.26188008746397007,0.2606206280003003,0.2541194618432459,0.257223715442202,0.2557166121757061,0.25002501098988095
0.3025980409066371,0.29213533344389575,0.2937808637166665,0.290866507613991,0.2881671202332236,0.2856501151998575,0.2836637020720429,0.2826964216744537,0.2751083065184337,0.2763982113348373,0.27514987610505903,0.27228752078525137,0.2694194979412352,0.2674842497915567,0.26181413091020034,0.2636527724449211,0.2623078998321304,0.26105738109451293,0.25453684444102875,0.2575621781667507,0.2560570242119816,0.25038352100646843
0.29924394500749835,0.2922032750265825,0.293677046892833,0.29095826909099515,0.2880348804123848,0.2858894389187133,0.28398697060624917,0.2828632839464751,0.27546489312031697,0.27692306205389267,0.27550727498600286,0.27270973633812684,0.26989595823524765,0.267988533414258,0.2622852991427803,0.26408998693111474,0.2627231630538629,0.26149325835194276,0.2549710523363481,0.25790795450737497,0.2564106830225586,0.2507558360136847
0.295889849332133,0.2922471358025583,0.29360209693270095,0.2910217448621314,0.2878486581049859,0.28609440813564185,0.28427705699178757,0.28298914370626954,0.2757840197677579,0.2773813320406371,0.2758319793368885,0.27309895668254003,0.2703468360800328,0.26846721405575846,0.2627413584630949,0.2645171290158859,0.2631247447103928,0.2619258573201209,0.25541910608508367,0.2582616403596192,0.25677589641027604,0.2511401718938624
0.29253575346289634,0.2922683170100943,0.2935448074486726,0.29105229506239805,0.287636853234241,0.28626543807856136,0.2845341357192826,0.28307963535479364,0.27606879296786374,0.2777782768352531,0.276126902470436,0.27345702861404747,0.2707717113541921,0.26891934509501086,0.26318114839168205,0.2649328757665815,0.2635123836919263,0.2623533730926655,0.25587835525748176,0.2586226806691828,0.25715147465079696,0.25153538242688483
0.28918165767178333,0.2922712460051879,0.29349174858343025,0.2910469625863798,0.2874231226124546,0.28640518697960204,0.2847595968395933,0.28314149418658957,0.276323254359212,0.27811943788707005,0.2763950756569907,0.273785630319167,0.27117008680482196,0.2693437218627881,0.2636030535771341,0.26533525190078744,0.2638837379374714,0.2627712187653683,0.2563423745958401,0.25898551421070864,0.2575316991100023,0.25193501204428936
0.28582756200098697,0.2922582892873619,0.2934377071766396,0.29100772979673784,0.28722955715533566,0.2865125117758346,0.2849526770426285,0.2831797523151451,0.27655046361583896,0.27840937429906454,0.2766394272502259,0.27408738120920756,0.2715432234222407,0.26974163474680335,0.26400863324116736,0.26572563054519327,0.2642412901780892,0.2631802755776713,0.25681096317484775,0.25935231753325033,0.2579180777636237,0.25234131897517975
