"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,         0.1426728,      -2.828665829,     -0.3623701231,       2.606136785,       -1.93811208,       3.425790417,                         9,       -4.27190259,               3,      -5.703011488,                3,      -5.790336873,   5.008888487e-08,   8.050963991e-06,                12,              14.4,        14.3608609,        -0.1502349261,          -1.146359746,                     0,      0.1110413751,      0.2930398938,                 0,       291.0006174,       295.2827799,                 0,       31854.39446,         31263.3351,                  0,        0.3813421076,         0.3688324791,                    0,           293107.295,           301769.6765,                     0,          -12.31224996,           -94.33565398,                      0,        12.13744727,         94.33158954,                   0,                 36.1521754,                 35.96495146,                           0,              -0.02819335455,             -8.616787175e-05,                          nan,                       2.978564981,                       0.3812609502,                                nan,           291.7331881,            300.3550211,                      0,            32135.80773,             33183.65843,                       0,       19.49728309,       6.473447705,                 0,                 0,                 0,       10.92547992,       11.58673743,       16.96458337,                 0,      0.3320179368
           1,        0.14034605,      -3.081247278,     -0.6245194168,       2.355301802,      -2.087790128,       4.376579374,                        10,      -4.073911597,               2,      -4.098090175,                3,      -4.959509273,   5.512831384e-08,   1.017841356e-05,                12,             17.28,       17.22979518,          -0.76390274,          -1.532706057,                     0,      0.2486449312,      0.4783479959,                 0,       270.2774385,       282.9879687,                 0,       25134.92362,        24106.21388,                  0,        0.3239951595,         0.2967545951,                    0,          274937.5895,           297339.5706,                     0,          -71.96639577,           -156.8829794,                      0,        71.77242742,         156.8236104,                   0,                39.64915075,                 37.61589346,                           0,             -0.005383261363,             -0.0007567139166,                          nan,                      0.5524287275,                       0.2398611623,                                nan,            273.648178,            295.9461622,                      0,            26248.39607,               28195.723,                       0,       26.77455396,       8.013042856,                 0,                 0,                 0,       15.27572977,       16.44263662,       22.59923221,                 0,      0.2992782949
           2,         0.1350996,      -3.284811663,     -0.8640387909,       2.164396517,       -2.24921194,        4.10226408,                        10,      -3.583263808,               3,      -5.066332039,                3,      -4.374364752,   6.606465221e-08,   1.253534951e-05,                12,            20.736,       20.67528274,         -1.148798692,          -1.790596235,                     0,      0.4131319589,      0.6405669603,                 0,       247.3851337,       265.0510967,                 0,       20156.30123,        20167.98796,                  0,        0.2839447725,         0.2651382861,                    0,          257062.9622,           288159.4258,                     0,          -123.3463857,           -205.2183772,                      0,        123.0793112,         205.1283019,                   0,                42.76074371,                 40.23329225,                           0,             -0.004325790993,             -0.0008776552689,                          nan,                      0.3474243015,                       0.1961372072,                                nan,           255.8568428,            286.8091269,                      0,             22677.1852,             26583.69986,                       0,       25.44797922,       7.254643026,                 0,                 0,                 0,       14.62114734,       15.84696309,       21.19205636,                 0,      0.2850773715
           3,       0.133444175,      -3.336649421,     -0.9925038087,       2.111119408,      -2.410635234,       3.736819788,                        10,      -3.219779115,               3,      -4.337701016,                4,      -5.282679464,   7.922437567e-08,   1.487860065e-05,                12,           24.8832,       24.80995878,         -1.242077096,           -1.93560114,                     0,      0.4748689313,      0.7529366463,                 0,        241.638054,       250.2986381,                 0,        18480.0734,        17979.74605,                  0,        0.2665983353,         0.2503840071,                    0,          253747.5156,           279994.0158,                     0,          -142.4015527,           -235.3142827,                      0,        142.0031044,         235.2220914,                   0,                41.33300907,                 41.25531943,                           0,             -0.005588293079,             -0.0007834057335,                          nan,                      0.2910711652,                       0.1753887961,                                nan,           252.5567566,            278.6821706,                      0,            21573.22358,             26188.16376,                       0,       22.58687984,       6.338195595,                 0,                 0,                 0,       13.02671526,       14.12639092,        18.7292537,                 0,      0.2806140396
           4,        0.13195854,      -3.362724244,      -1.030616682,       2.087318421,      -2.567421411,       3.226583537,                        10,       -2.98949135,               4,      -4.429376789,                4,      -5.079462225,   9.526903084e-08,   1.762849718e-05,                12,           24.8832,       24.80995878,          -1.24252719,          -2.003997678,                     0,      0.4862879867,      0.8244072381,                 0,       243.0271828,       241.4024007,                 0,       18048.68768,        16697.31222,                  0,        0.2589081183,         0.2411223229,                    0,          255745.2438,            275513.316,                     0,          -147.4655178,           -253.6503468,                      0,        146.7197618,         253.6593357,                   0,                37.21137152,                  40.7501736,                           0,              -0.01008873428,              7.087767035e-05,                          nan,                      0.2536220824,                       0.1606492168,                                nan,           254.5453066,            274.2226813,                      0,            21236.48073,             26082.48658,                       0,       21.03341236,       5.934937573,                 0,                 0,                 0,       12.15598378,       13.13501842,       17.46708936,                 0,      0.2821671287
           5,      0.1308357833,      -3.393050733,      -1.053311898,       2.063720461,      -2.716978387,       3.261736277,                        10,      -3.082777412,               4,      -4.327162961,                4,      -4.920683573,   9.577761239e-08,   1.745558531e-05,              14.4,          29.85984,       29.77195054,         -1.223761583,          -2.025538937,                     0,      0.4847889776,      0.8718684466,                 0,       245.0862114,        236.939711,                 0,       17929.16234,        15808.34562,                  0,        0.2550672162,         0.2325357241,                    0,          257860.1451,           274258.3074,                     0,          -148.1631579,           -266.2186212,                      0,        146.9364847,         266.3870239,                   0,                34.28439749,                 39.66098349,                           0,               -0.0164898653,               0.001265545865,                          nan,                      0.2333280094,                       0.1488848177,                                nan,           256.6507053,            272.9737143,                      0,            21095.18896,             25928.88355,                       0,       20.51488152,       5.853131856,                 0,                 0,                 0,       11.86585141,        12.7721142,        17.0877914,                 0,      0.2853115116
           6,      0.1301988143,      -3.421861753,      -1.058835782,       2.037176622,      -2.849661176,       3.140113972,                        10,      -2.847654613,               5,      -4.702621089,                4,      -4.896254117,   1.155086645e-07,    2.08788779e-05,              1.44,          2.985984,       2.977195054,         -1.203609599,          -2.027669291,                     0,      0.4814840863,      0.9117565317,                 0,       246.6556792,        234.191511,                 0,       17829.98418,        15031.14122,                  0,        0.2521039763,         0.2236301694,                    0,          259372.1826,           274431.4867,                     0,          -147.7086487,           -277.1439127,                      0,        146.2315928,         277.4598435,                   0,                33.40069491,                 38.59554722,                           0,              -0.01989959102,               0.002281203451,                          nan,                      0.2284095678,                       0.1391031824,                                nan,           258.1560672,             273.146188,                      0,            20949.21221,             25722.51324,                       0,       20.26101923,       5.867605047,                 0,                 0,                 0,       11.71712209,        12.5614029,       16.94546684,                 0,      0.2896006849
           7,      0.1242648125,      -3.440421222,       -1.05983635,       2.020095854,      -2.976839329,       2.856192527,                         4,      -4.312386251,               2,      -4.492221347,                4,      -4.921145792,   1.160872935e-08,   2.086275756e-06,             1.728,         3.5831808,       3.572634064,         -1.202984188,          -2.035456875,                     0,      0.4801777873,      0.9151304552,                 0,       247.0775563,       233.9841909,                 0,       17869.57963,        15022.57926,                  0,        0.2522376751,         0.2236956891,                    0,          259749.5654,           274479.0824,                     0,          -147.3968251,           -278.0719952,                      0,        146.0009753,         278.4141711,                   0,                33.53140334,                 38.52514402,                           0,              -0.01885034534,               0.002462574307,                          nan,                       0.229665612,                       0.1383735025,                                nan,           258.5320515,            273.1936557,                      0,            20976.35883,             25800.78266,                       0,        20.2186207,       5.860172863,                 0,                 0,                 0,       11.69394164,       12.53217981,       16.91386172,                 0,      0.2898403877
           8,      0.1204955778,      -3.481541493,      -1.061906311,       1.971206872,      -2.996945543,       2.878818312,                         5,      -4.769558923,               2,      -4.293087169,                4,      -4.832841369,   1.393919433e-08,   2.520206789e-06,            2.0736,        4.29981696,       4.287160877,         -1.202742729,          -2.041404565,                     0,      0.4791175096,      0.9188151619,                 0,        247.476152,       233.7930582,                 0,       17902.96082,        14995.15492,                  0,        0.2523072417,         0.2234618651,                    0,           260113.932,            274574.018,                     0,          -147.1413541,           -279.1076553,                      0,          145.84549,         279.4679882,                   0,                33.73178028,                 38.39870756,                           0,              -0.01753630566,               0.002583701985,                          nan,                      0.2312843564,                       0.1373993058,                                nan,           258.8947567,            273.2881615,                      0,            20998.89927,             25856.63974,                       0,       20.18804307,       5.858991209,                 0,                 0,                 0,       11.67713372,       12.50857218,       16.89439205,                 0,      0.2902208594
           9,         0.1175889,      -3.523570707,      -1.071821597,       1.919002124,      -3.018577923,       2.823245173,                         5,      -4.315932636,               2,        -4.0221645,                4,      -4.725749986,   1.673728435e-08,   3.037028139e-06,           2.48832,       5.159780352,       5.144593053,         -1.203260538,          -2.045850017,                     0,       0.478358263,       0.922987967,                 0,       247.8699956,       233.5694124,                 0,       17934.20053,        14947.73312,                  0,         0.252351231,         0.2229571631,                    0,          260486.9705,            274674.415,                     0,          -146.9581011,           -280.2777364,                      0,        145.7850169,         280.6387657,                   0,                34.04641001,                 38.18502804,                           0,               -0.0159011596,               0.002577884407,                          nan,                      0.2335384714,                       0.1360646949,                                nan,           259.2660972,            273.3881055,                      0,             21022.0051,               25893.848,                       0,       20.15327834,       5.860049538,                 0,                 0,                 0,       11.65748478,       12.48027643,       16.87416691,                 0,       0.290774009
          10,         0.1160441,      -3.552917491,      -1.092188301,       1.878668535,      -3.042282418,        2.71581863,                         6,      -4.638474243,               3,       -5.21526848,                4,      -4.657125647,   2.009806118e-08,   3.653549466e-06,          2.985984,       6.191736422,       6.173511663,         -1.204995403,           -2.04911771,                     0,      0.4780169231,      0.9278296994,                 0,       248.2580955,       233.2336112,                 0,        17967.2354,        14877.91932,                  0,        0.2524240001,          0.222220504,                    0,          260873.7268,           274701.5845,                     0,          -146.8738818,           -281.5915196,                      0,        145.8452201,           281.93192,                   0,                34.53339933,                 37.84170799,                           0,               -0.0139583638,                0.00241915059,                          nan,                      0.2367811528,                       0.1342228578,                                nan,           259.6510952,            273.4151669,                      0,            21051.78752,             25913.49143,                       0,       20.10639031,       5.861916806,                 0,                 0,                 0,       11.63024298,        12.4418467,       16.84723866,                 0,      0.2915449624
          11,       0.114263825,       -3.56904195,      -1.120725245,       1.853962602,      -3.068727337,       2.583313123,                         6,      -4.258341125,               3,      -4.800413632,                4,      -4.640841724,   2.413689821e-08,   4.374300563e-06,         3.5831808,       7.430083707,       7.408213996,         -1.207761015,          -2.051355425,                     0,      0.4780590815,      0.9334081388,                 0,       248.6017964,       232.7085547,                 0,       18004.01121,        14783.15495,                  0,        0.2525885198,         0.2212869236,                    0,          261233.5229,            274569.305,                     0,           -146.859379,           -283.0229451,                      0,         145.979012,         283.3238802,                   0,                35.21121451,                 37.34323148,                           0,               -0.0119533148,               0.002127707791,                          nan,                      0.2412073764,                        0.131804038,                                nan,           260.0092641,            273.2835255,                      0,            21090.74853,             25912.32589,                       0,       20.04463267,       5.864647189,                 0,                 0,                 0,       11.59349769,       12.39106555,        16.8119862,                 0,      0.2925794294
          12,         0.1137701,      -3.586027137,      -1.151402884,       1.831972033,      -3.098592034,       2.458200363,                         7,      -4.513482366,               3,      -4.410118893,                4,      -4.597883483,   2.899312547e-08,    5.24921511e-06,        4.29981696,       8.916100448,       8.889856795,          -1.21067415,          -2.052560762,                     0,      0.4782459361,      0.9396592386,                 0,       248.8255715,       231.9558294,                 0,       18039.87675,         14662.2609,                  0,        0.2528539507,         0.2201752056,                    0,          261476.0711,            274225.741,                     0,          -146.8220082,           -284.5268261,                      0,        146.0824808,         284.7768692,                   0,                36.02173777,                 36.69792451,                           0,               -0.0100484242,               0.001758378638,                          nan,                      0.2465849263,                       0.1288655382,                                nan,           260.2507391,            272.9415887,                      0,            21130.87952,             25885.12284,                       0,       19.96549325,       5.868399968,                 0,                 0,                 0,       11.54536163,        12.3258381,       16.76701387,                 0,      0.2939271219
          13,      0.1129042929,      -3.612662624,      -1.178364884,       1.803886657,      -3.131862748,       2.357563211,                         7,      -4.137294904,               3,      -4.056777608,                4,      -4.554220122,    3.48348075e-08,   6.278153617e-06,       5.159780352,       10.69932054,       10.66782815,         -1.212191834,          -2.052911945,                     0,      0.4780513606,      0.9466301466,                 0,       248.8610974,       230.9673326,                 0,       18067.33193,        14514.86511,                  0,        0.2531859699,         0.2188844785,                    0,          261503.2715,           273665.1354,                     0,          -146.5962859,           -286.1045622,                      0,        145.9896445,         286.2997771,                   0,                36.82472114,                 35.95414396,                           0,             -0.008259230625,               0.001365105984,                          nan,                      0.2522420085,                       0.1255821584,                                nan,           260.2778795,            272.3836294,                      0,            21156.43732,             25831.31221,                       0,       19.86511709,       5.873187441,                 0,                 0,                 0,       11.48311937,       12.24309038,       16.70999538,                 0,      0.2956533009
          14,      0.1129177067,      -3.642117556,      -1.198030605,       1.778058962,       -3.16898318,       2.285754661,                         8,      -4.218595172,               4,      -4.771479877,                4,       -4.48189174,   4.186361681e-08,   7.530706023e-06,       6.191736422,       12.83918465,       12.80139379,          -1.21073563,          -2.052749644,                     0,      0.4768232993,      0.9544174549,                 0,        248.692796,       229.7797103,                 0,       18082.31263,        14343.73639,                  0,        0.2535478844,         0.2174171425,                    0,          261266.2552,           272938.8517,                     0,          -146.0042487,           -287.7927217,                      0,        145.5297035,         287.9319517,                   0,                37.44616374,                 35.21095678,                           0,             -0.006489866558,              0.0009678053539,                          nan,                      0.2573094209,                       0.1222891609,                                nan,           260.0420446,            271.6607676,                      0,            21153.56439,             25757.82288,                       0,       19.73994375,       5.879574347,                 0,                 0,                 0,       11.40417616,       12.13964791,        16.6392224,                 0,      0.2978516263
          15,      0.1134570875,      -3.659218591,      -1.208393977,       1.770251086,      -3.211933744,       2.234273798,                         9,      -4.194386356,               4,      -4.407069209,                4,      -4.472770712,   5.032286461e-08,   9.016128296e-06,       7.430083707,       15.40702157,       15.36167254,          -1.20545955,          -2.052297487,                     0,      0.4740106972,      0.9627670736,                 0,       248.3887585,       228.5260089,                 0,       18093.42871,        14160.45255,                  0,        0.2539961943,           0.21581928,                    0,          260811.5871,           272182.0987,                     0,          -144.9215695,           -289.5794604,                      0,        144.5730381,         289.6616489,                   0,                 37.7505464,                  34.6495147,                           0,             -0.004804148426,              0.0005677205077,                          nan,                      0.2611174732,                         0.11962065,                                nan,           259.5895797,            270.9075755,                      0,            21125.25976,             25677.36984,                       0,       19.58736504,       5.889111992,                 0,                 0,                 0,       11.30634825,       12.01249589,       16.55434842,                 0,      0.3006587144
          16,      0.1143525706,      -3.658785859,      -1.208989685,        1.78143802,      -3.260055197,        2.19395365,                        10,       -4.13694664,               4,        -4.0720246,                4,      -4.460483638,   6.050609443e-08,   1.077475414e-05,       8.916100448,       18.48842589,       18.43400705,          -1.19751381,          -2.051924658,                     0,      0.4698297717,      0.9713531228,                 0,       248.0449076,       227.3264347,                 0,       18116.14974,        13979.35787,                  0,        0.2546538421,         0.2141900485,                    0,          260254.3219,           271508.5717,                     0,          -143.4569158,           -291.4306242,                      0,        143.2064824,         291.4587613,                   0,                37.71548003,                 34.42359408,                           0,             -0.003488360814,              0.0001931060687,                          nan,                      0.2633643351,                       0.1181079406,                                nan,           259.0349993,            270.2372239,                      0,            21093.79656,             25604.90962,                       0,       19.40048355,       5.903286182,                 0,                 0,                 0,       11.18445652,       11.85524723,        16.4523756,                 0,      0.3042855177
          17,      0.1150171667,      -3.648725678,       -1.20276543,       1.799766014,      -3.313064164,        2.15735536,                        10,      -3.728791003,               5,      -4.544553792,                4,      -4.438686521,   7.276938448e-08,   1.300962096e-05,       10.69932054,       22.18611107,       22.12080846,         -1.189559955,          -2.051810946,                     0,      0.4651311382,      0.9799516148,                 0,       247.7404498,       226.2361462,                 0,       18167.85691,        13809.72235,                  0,        0.2556850697,         0.2126149429,                    0,           259719.469,           270964.5981,                     0,          -141.8824323,            -293.311767,                      0,        141.6813725,         293.3009081,                   0,                37.47027449,                 34.59906152,                           0,             -0.002832166692,             -7.404205308e-05,                          nan,                      0.2644686018,                       0.1179643859,                                nan,           258.5027263,            269.6958238,                      0,            21091.29435,             25548.80167,                       0,       19.15568759,       5.920877292,                 0,                 0,                 0,       11.02230223,       11.64985853,       16.31802535,                 0,      0.3090923917
          18,      0.1163110789,      -3.632062829,      -1.194647392,       1.822553118,      -3.371745325,        2.11660671,                        10,      -3.368837376,               5,      -4.154781727,                4,      -4.408134415,   8.754547966e-08,   1.567816601e-05,       12.83918465,       26.62333328,       26.54497015,         -1.184241415,          -2.051477977,                     0,      0.4609302927,      0.9883150865,                 0,       247.4779865,       225.2846512,                 0,        18249.1309,        13654.06778,                  0,        0.2570925517,         0.2111088907,                    0,           259253.039,           270565.6068,                     0,          -140.4938943,           -295.1720187,                      0,        140.3100643,          295.146516,                   0,                37.18715602,                 35.15545302,                           0,             -0.002615198253,             -0.0001727917375,                          nan,                      0.2650355567,                       0.1191118686,                                nan,           258.0385553,            269.2987271,                      0,            21129.88761,             25505.93542,                       0,       18.79165906,       5.934354883,                 0,                 0,                 0,       10.77893974,       11.35211622,       16.10814935,                 0,      0.3157972835
          19,        0.11790067,      -3.603777014,      -1.188255524,       1.856746158,      -3.436229421,       2.079045414,                        10,      -3.072552783,               6,      -4.410037024,                4,      -4.426837036,   1.053743355e-07,   1.906531089e-05,       15.40702157,       31.94799994,       31.85396418,         -1.182239271,          -2.050641714,                     0,       0.457841855,      0.9963553431,                 0,       247.1741665,       224.4948727,                 0,       18331.22535,        13511.93049,                  0,        0.2585527031,         0.2096501251,                    0,          258791.2795,            270334.496,                     0,          -139.4722338,            -297.008864,                      0,        139.3102617,         296.9910487,                   0,                36.87310498,                 35.99058506,                           0,             -0.002321294982,             -0.0001199607434,                          nan,                      0.2646833373,                       0.1211840735,                                nan,           257.5790317,            269.0687253,                      0,            21182.30601,             25474.56436,                       0,       18.17737259,       5.924000251,                 0,                 0,                 0,       10.36964519,       10.86974241,       15.72766204,                 0,      0.3258996988
          20,      0.1188283714,      -3.568105242,      -1.186439895,       1.898938585,      -3.501770966,       2.101143888,                        10,      -2.774112993,               6,      -4.069148337,                4,      -4.485178914,   1.269571944e-07,     2.3038164e-05,       1.540702157,       3.194799994,       3.185396418,         -1.181479312,          -2.050630654,                     0,      0.4554859122,       1.004642487,                 0,         246.82217,       223.8557821,                 0,       18386.90421,        13382.25182,                  0,         0.259689106,         0.2082367261,                    0,          258309.2818,           270311.2623,                     0,          -138.7274985,           -298.9961953,                      0,        138.5983061,         298.9955779,                   0,                36.39466272,                 36.96096799,                           0,              -0.00186166674,             -4.129672208e-06,                          nan,                      0.2625909633,                       0.1236171058,                                nan,           257.0993637,            269.0456289,                      0,            21212.82496,              25472.4044,                       0,       17.07464268,       5.846052616,                 0,                 0,                 0,       9.650722198,       10.03978538,       14.99741523,                 0,       0.342382135
          21,      0.1176094636,      -3.541367352,      -1.188516502,       1.932030453,      -3.568599931,       2.100472767,                         4,      -4.238012554,               2,      -4.042738893,                4,      -4.545960398,   1.274111519e-08,   2.280455848e-06,       1.848842589,       3.833759992,       3.822475702,         -1.181145829,          -2.051288923,                     0,      0.4549929029,       1.004697098,                 0,       246.8310856,       223.8805668,                 0,       18396.22541,        13386.32061,                  0,        0.2598154847,         0.2082787827,                    0,          258292.6114,            270345.928,                     0,          -138.5798148,           -299.0290387,                      0,          138.47404,         299.0291794,                   0,                 36.3861895,                 36.99324558,                           0,             -0.001525971464,              9.409416468e-07,                          nan,                      0.2627654215,                       0.1237111564,                                nan,           257.0828428,            269.0801513,                      0,            21215.98028,             25481.56143,                       0,        17.0056851,       5.839912111,                 0,                 0,                 0,       9.606525394,       9.988652525,       14.95074313,                 0,      0.3434093996
