"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.02586170001,      -2.444354044,     0.02163881942,       2.990517618,                         8,      -4.022062454,               3,      -5.563296263,   5.402502367e-08,   1.638114042e-05,                12,              14.4,       14.34493036,        -0.1700235047,          -1.150036041,                     0,      0.1128226424,      0.2939418325,                 0,       291.5432426,       296.1026314,                 0,       31849.12499,        31315.95344,                  0,        0.3805720795,         0.3684298015,                    0,          293686.8793,           302637.3671,                     0,          -13.83842727,           -94.74375055,                      0,        13.70227567,         94.73841915,                   0,                36.60551286,                 36.19085368,                           0,              -0.01958052375,             -0.0001125405506,                          nan,                       2.671491491,                       0.3820082075,                                nan,           292.3121353,            301.2207261,                      0,            32143.88582,             33251.80935,                       0,       19.49941347,       6.485140592,                 0,                 0,                 0,       10.92617515,       11.58134633,       16.97517573,                 0,       0.332581316
           1,        0.02679405,      -2.687592782,      -0.236689368,       2.751728917,                         9,      -4.068227291,               4,      -5.451367618,    6.00464673e-08,   2.076476124e-05,                12,             17.28,       17.21001482,        -0.8135444391,          -1.554584277,                     0,      0.2643822557,      0.4862879744,                 0,       270.7186419,       284.4350138,                 0,       25079.19611,        24159.65826,                  0,        0.3227726952,         0.2958946119,                    0,          275824.5492,           299293.4662,                     0,          -76.80564652,           -159.6685167,                      0,        76.65320522,           159.56532,                   0,                42.27220172,                 39.25130727,                           0,             -0.003965594181,              -0.001292219131,                          nan,                      0.5514733741,                       0.2459889609,                                nan,           274.5334186,            297.8924779,                      0,            26336.93566,             28402.66838,                       0,       26.58450481,       7.979340456,                 0,                 0,                 0,       15.17501507,       16.31188082,       22.45725527,                 0,      0.3001500504
           2,     0.02742976667,      -2.838637818,     -0.4638667944,       2.615947282,                        10,      -4.061379712,               4,      -4.834494125,   7.218232424e-08,   2.576246019e-05,                12,            20.736,       20.65063596,         -1.204837995,          -1.811802148,                     0,      0.4340983504,      0.6460622582,                 0,       249.3272836,       267.6195282,                 0,         20300.184,        20408.73614,                  0,        0.2838351225,         0.2657958606,                    0,          259952.0154,           291323.7917,                     0,          -129.6327784,           -207.4356059,                      0,        129.2322617,          207.199858,                   0,                47.12639699,                 43.52970429,                           0,             -0.006169704344,              -0.002271682455,                          nan,                      0.3646643366,                       0.2100855894,                                nan,           258.7351838,            289.9601093,                      0,            23110.25656,             27028.07304,                       0,       25.07732554,       7.225924417,                 0,                 0,                 0,       14.42039645,       15.56952106,       20.94459964,                 0,      0.2881457357
           3,        0.02749565,      -2.864237945,     -0.5679391149,       2.590388885,                        10,      -3.872044546,               4,      -4.119261844,   8.659492454e-08,   3.075834127e-05,                12,           24.8832,       24.77964794,         -1.298793227,          -1.942746199,                     0,      0.5004877021,       0.753215492,                 0,       243.7499081,       253.7412967,                 0,       18514.97762,        18247.95626,                  0,        0.2649144135,         0.2507898078,                    0,          257173.8588,            283856.952,                     0,          -150.8443581,           -236.5903221,                      0,         149.900857,         236.1761496,                   0,                 44.1161819,                 43.99808244,                           0,              -0.01247047578,              -0.003498114392,                          nan,                      0.2943023996,                       0.1862935039,                                nan,           255.9700317,            282.5282218,                      0,             21984.8923,             26604.04052,                       0,       22.12386053,       6.391171056,                 0,                 0,                 0,       12.76459303,       13.72596882,       18.49080994,                 0,      0.2888813662
           4,        0.02778606,      -2.912497722,     -0.5924228616,       2.544860661,                        10,      -3.590668109,               5,      -4.467548659,    1.04509237e-07,   3.644979961e-05,              14.4,          29.85984,       29.73557753,         -1.279928156,          -1.988008477,                     0,      0.5138324511,      0.8220333905,                 0,       244.4073827,       245.1107507,                 0,       17756.65468,        16804.27031,                  0,        0.2534369505,         0.2391082836,                    0,          258575.6015,           279543.6017,                     0,          -157.1588271,           -254.7655029,                      0,        155.2713189,         254.2819254,                   0,                 35.9851006,                 41.43197335,                           0,              -0.02387614624,              -0.003792652763,                          nan,                       0.231756263,                       0.1629371545,                                nan,           257.3652129,            278.2350622,                      0,            21315.48863,             26221.57774,                       0,       20.32072174,       6.109812892,                 0,                 0,                 0,       11.73956181,       12.46211951,       17.17431579,                 0,       0.300669089
           5,     0.02843033333,      -2.968678836,     -0.5977425278,       2.493685634,                        10,      -3.231207529,               6,      -4.732333951,   1.265406836e-07,   4.129266098e-05,             17.28,         35.831808,       35.68269303,         -1.230976724,          -1.989673021,                     0,      0.5078144497,      0.8745691704,                 0,       246.8023311,       240.2911413,                 0,       17338.51834,         15600.1498,                  0,        0.2451373041,         0.2263371302,                    0,          260839.9085,            278357.911,                     0,          -156.7538262,           -269.0032961,                      0,        154.4882622,         268.6155029,                   0,                31.11483996,                 39.19178439,                           0,              -0.02869712261,              -0.002881107176,                          nan,                      0.2014058512,                       0.1459029131,                                nan,           259.6189207,            277.0549217,                      0,            20754.47507,             25704.12164,                       0,       19.13294098,       6.238808815,                 0,                 0,                 0,       11.08668267,       11.43910138,       16.55714726,                 0,      0.3260768338
           6,     0.02869747143,      -2.993761485,     -0.5852894179,       2.468364667,                        10,      -2.894470282,               6,      -4.004100058,   1.532106528e-07,    4.83398422e-05,             1.728,         3.5831808,       3.568269303,         -1.202144037,          -1.989050818,                     0,      0.4986893973,      0.9191950702,                 0,       249.8640034,       237.2914812,                 0,       17215.66126,        14684.85707,                  0,        0.2404044321,         0.2156469291,                    0,          263580.5055,           278706.3742,                     0,          -154.5493692,           -281.1872981,                      0,        153.0899554,         281.0365742,                   0,                 32.1926577,                  39.0309138,                           0,              -0.01879688203,               -0.00107176599,                          nan,                      0.2102858912,                       0.1388819726,                                nan,            262.346689,            277.4017538,                      0,            20460.99719,             25373.58235,                       0,       17.61043034,       6.657887866,                 0,                 0,                 0,       10.30624873,       9.974027504,       15.96788974,                 0,      0.3780650295
           7,        0.02729075,      -3.021213818,     -0.5972352114,         2.4402516,                         4,      -4.112583401,               3,      -5.459448954,   1.545041807e-08,   4.770200427e-06,            2.0736,        4.29981696,       4.281923164,         -1.203470773,          -2.001833258,                     0,       0.496531399,      0.9238284691,                 0,       250.5736736,       237.0556523,                 0,       17303.96791,        14690.93051,                  0,        0.2409508049,         0.2159495263,                    0,          264210.6079,            278834.712,                     0,          -154.0132427,           -282.4716639,                      0,        152.7490282,         282.3663696,                   0,                32.56062861,                 39.14387059,                           0,              -0.01634957993,              -0.000745381915,                          nan,                      0.2131642276,                       0.1386279486,                                nan,           262.9738419,            277.5294908,                      0,            20530.13078,             25510.07196,                       0,       17.49348165,       6.670225982,                 0,                 0,                 0,       10.24583329,       9.873521165,       15.90683484,                 0,      0.3812977952
           8,     0.02639181111,      -3.074505602,     -0.6167465041,       2.376675712,                         5,      -4.524427613,               3,      -5.009895281,   1.855909464e-08,   5.725218552e-06,           2.48832,       5.159780352,       5.138307797,         -1.206632459,          -2.013404239,                     0,      0.4949085311,      0.9289974316,                 0,       251.3064336,       236.8026642,                 0,       17396.65062,        14678.30029,                  0,         0.241526617,         0.2159942612,                    0,          264889.3576,           278992.2822,                     0,          -153.6139745,           -283.9087299,                      0,         152.591413,          283.840048,                   0,                33.13709472,                  39.2184419,                           0,              -0.01326908093,             -0.0004837720467,                          nan,                       0.217162251,                       0.1381709247,                                nan,           263.6494144,            277.6863235,                      0,             20609.3289,             25631.96262,                       0,       17.34952905,        6.70017329,                 0,                 0,                 0,       10.17249581,        9.74086297,       15.84342352,                 0,      0.3861876176
           9,        0.02567984,      -3.129932591,     -0.6487339535,       2.307425437,                         5,      -4.064328287,               3,       -4.58657629,   2.229242477e-08,   6.861217006e-06,          2.985984,       6.191736422,       6.165969356,         -1.213097462,          -2.023634393,                     0,      0.4942114294,      0.9348050673,                 0,       252.0915243,       236.4342831,                 0,       17508.44388,        14643.03877,                  0,        0.2423027983,         0.2158132193,                    0,           265669.497,           279072.4881,                     0,          -153.4703471,           -285.4797249,                      0,        152.7111321,         285.4273946,                   0,                34.02018097,                 39.17855203,                           0,             -0.009869491512,              -0.000366579357,                          nan,                      0.2227747284,                       0.1372627602,                                nan,            264.425902,            277.7661539,                      0,            20722.22009,              25736.5316,                       0,       17.15106312,         6.7471062,                 0,                 0,                 0,       10.07142348,       9.554547786,       15.76048936,                 0,       0.393392885
