"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.05206449993,      -2.306789966,     -0.8157315489,       3.195712423,                         9,      -4.254664162,               3,       -4.05247924,    1.32120531e-07,   0.0002902911511,                12,              14.4,       14.27969419,          5.633883396,          -5.845946667,                     0,      0.4697839918,      0.4999000303,                 0,       292.5780278,       300.0135825,                 0,       5385.965151,        5485.349102,                  0,       0.06412889612,        0.06369329269,                    0,           306929.844,           316489.7477,                     0,           111.1516266,           -116.1232446,                      0,         111.151736,         116.1232446,                   0,                116.6047219,                 129.0185823,                           0,             1.969603074e-06,              -2.28118413e-10,                          nan,                       1.049058936,                         1.11104872,                                nan,           305.4931099,            315.0082638,                      0,            6265.013088,             6506.356828,                       0,       2.800910574,     -0.7072562635,                 0,                 0,                 0,      -1.452012887,       1.348581158,      -2.554729012,                 0,     -0.2525094054
           1,     0.05473674997,      -2.553325127,     -0.4246235806,       2.941890818,                        10,       -3.78240681,               4,      -4.019705018,   1.701778244e-07,    0.000353110887,                12,             17.28,       17.02664859,          5.770492388,           -5.84508524,                     0,      0.4647293994,      0.4998422894,                 0,       287.3232905,       300.0229398,                 0,       5396.976713,        5485.917273,                  0,       0.06543628156,        0.06369790332,                    0,          301144.0563,           316496.1387,                     0,           111.5777689,           -116.0977293,                      0,        111.5760959,         116.0977293,                   0,                 111.760661,                  129.018213,                           0,            -2.998692948e-05,              -5.47852097e-10,                          nan,                       1.001654164,                         1.11128972,                                nan,           299.7344054,            315.0146249,                      0,            6257.910814,             6506.780337,                       0,       4.991077009,      -1.383338841,                 0,                 0,                 0,      -2.682731923,       2.311661284,       -4.63472741,                 0,     -0.2771623917
           2,     0.05245986666,      -2.702009418,     -0.5458560887,       2.801074791,                        10,       -3.18881626,               5,      -4.278684896,   1.429953108e-07,   0.0004274524328,                12,            20.736,       20.34905905,          5.986376403,          -5.844748489,                     0,      0.4762338172,      0.4998198014,                 0,       284.0575381,         300.02726,                 0,       5438.856429,        5486.121576,                  0,       0.06670294613,        0.06369935828,                    0,          298339.1275,           316499.3408,                     0,            113.561005,            -116.088389,                      0,        113.5558796,         116.0883889,                   0,                113.9843594,                 129.0177942,                           0,            -9.026550399e-05,              -8.89967211e-10,                          nan,                       1.003773295,                        1.111375525,                                nan,           296.9426064,             315.017812,                      0,             6352.51256,             6506.925136,                       0,       6.935961796,      -1.750443532,                 0,                 0,                 0,      -3.842854826,       3.340231269,       -6.32569946,                 0,     -0.2523721416
           3,     0.05172362499,      -2.887862369,     -0.6056343547,       2.613500197,                        10,      -2.637188692,               6,      -4.469576435,   1.209716551e-07,   0.0005148851732,               1.2,            2.0736,       2.034905905,          6.137145067,          -5.844760902,                     0,       0.494635043,      0.4998206285,                 0,       282.3060061,       300.0274053,                 0,       5466.776048,        5486.096778,                  0,       0.06746110365,        0.06369903949,                    0,          297514.4747,            316499.544,                     0,           115.1092796,           -116.0892165,                      0,        115.1057311,         116.0892165,                   0,                120.4361783,                 129.0174925,                           0,            -6.165367274e-05,             -1.522979853e-09,                          nan,                       1.046309138,                        1.111365004,                                nan,           296.1218138,            315.0180143,                      0,            6462.105122,             6506.899311,                       0,       7.823652839,      -1.761064063,                 0,                 0,                 0,      -4.402058144,       3.926319923,      -6.992488988,                 0,     -0.2250948628
           4,     0.04740893999,      -3.006098875,     -0.5927646492,       2.492079981,                         4,      -4.613585868,               2,      -4.578975103,    1.07394723e-08,   5.149367189e-05,              1.44,           2.48832,       2.441887086,          6.154973576,          -5.844823033,                     0,      0.4990064241,      0.4998251512,                 0,       282.4409973,       300.0265336,                 0,       5472.670506,        5486.047846,                  0,       0.06750112414,        0.06369865642,                    0,          297903.2982,           316498.8969,                     0,           115.3721325,           -116.0911488,                      0,        115.3698379,         116.0911487,                   0,                122.2770432,                 129.0175273,                           0,            -3.977741599e-05,             -1.805785854e-09,                          nan,                       1.059870114,                        1.111346807,                                nan,           296.5088173,            315.0173702,                      0,            6487.823197,             6506.860886,                       0,        7.84215312,      -1.741404266,                 0,                 0,                 0,       -4.42080007,       3.953309103,      -6.993082404,                 0,      -0.222056907
           5,        0.04454855,      -3.010281558,     -0.5985355775,       2.486666934,                         4,      -4.138336778,               2,      -4.300436446,    1.28011429e-08,   6.179291669e-05,             1.728,          2.985984,       2.930264503,          6.165727647,          -5.844892757,                     0,      0.5033808447,      0.4998300038,                 0,       282.5673501,       300.0256296,                 0,        5476.44349,        5485.998862,                  0,       0.06751705404,        0.06369827958,                    0,          298285.5113,           316498.2358,                     0,           115.5439959,           -116.0932205,                      0,        115.5426517,         116.0932203,                   0,                124.1922756,                 129.0175782,                           0,            -2.326599462e-05,             -2.240176378e-09,                          nan,                       1.074860874,                        1.111327413,                                nan,           296.8892412,            315.0167122,                      0,            6511.264405,             6506.823831,                       0,       7.797177038,       -1.71096849,                 0,                 0,                 0,      -4.401585145,        3.94583242,      -6.939293153,                 0,     -0.2194343519
           6,     0.04292681427,      -3.002567374,     -0.6117349259,       2.493637969,                         5,      -4.576793945,               2,      -4.028032606,   1.533649177e-08,   7.414363389e-05,            2.0736,         3.5831808,       3.516317403,          6.169166001,          -5.844970253,                     0,      0.5076669405,      0.4998351613,                 0,       282.6909146,       300.0246971,                 0,       5478.035025,        5485.950927,                  0,       0.06750680882,        0.06369792099,                    0,          298662.0027,           316497.5629,                     0,           115.6243471,           -116.0954134,                      0,        115.6235848,         116.0954132,                   0,                126.1391179,                 129.0176513,                           0,            -1.318653653e-05,             -2.869316229e-09,                          nan,                       1.090946264,                        1.111307051,                                nan,           297.2639702,            315.0160425,                      0,            6531.934213,             6506.789342,                       0,        7.69307956,      -1.674315558,                 0,                 0,                 0,      -4.346014976,       3.903416048,      -6.837408051,                 0,      -0.217639184
           7,      0.0417514375,      -2.993005992,      -0.625392275,       2.503090766,                         5,      -4.132040695,               3,      -5.502122173,   1.847332494e-08,   8.895197684e-05,           2.48832,        4.29981696,       4.219580884,          6.165993136,          -5.845054103,                     0,      0.5117599523,      0.4998405362,                 0,       282.8227518,       300.0237426,                 0,       5477.718431,        5485.905053,                  0,       0.06747116455,        0.06369759099,                    0,          299038.2524,           316496.8799,                     0,           115.6251492,           -116.0976804,                      0,        115.6246067,         116.0976802,                   0,                 128.060619,                 129.0177506,                           0,            -9.382742192e-06,             -3.706570939e-09,                          nan,                       1.107555067,                        1.111286207,                                nan,           297.6384587,            315.0153626,                      0,            6549.662553,              6506.75824,                       0,       7.548900146,       -1.63780507,                 0,                 0,                 0,      -4.264723574,       3.834073769,      -6.705831581,                 0,     -0.2169594296
           8,     0.04113868889,      -2.987272082,     -0.6320593165,       2.509174125,                         6,      -4.485803408,               3,      -5.127543509,   2.234819439e-08,   0.0001067037268,          2.985984,       5.159780352,       5.063497061,          6.157734785,          -5.845140446,                     0,      0.5155307769,      0.4998459382,                 0,       282.9782313,        300.022782,                 0,       5476.086689,        5485.862232,                  0,       0.06741380733,        0.06369729772,                    0,           299422.736,           316496.1922,                     0,           115.5684636,             -116.09993,                      0,        115.5678549,         116.0999298,                   0,                129.8838111,                 129.0178759,                           0,            -1.053346953e-05,             -4.692690458e-09,                          nan,                       1.123874898,                        1.111265753,                                nan,           298.0211425,            315.0146782,                      0,            6564.543729,             6506.730877,                       0,       7.391965485,      -1.608338675,                 0,                 0,                 0,       -4.17419541,       3.750961783,      -6.569489533,                 0,     -0.2175792999
           9,     0.04091746999,      -2.982480182,     -0.6300058814,       2.514418227,                         6,       -4.15875474,               3,      -4.768560647,   2.713218534e-08,   0.0001279789928,         3.5831808,       6.191736422,       6.076196473,          6.146253445,           -5.84522273,                     0,      0.5188105411,      0.4998510486,                 0,       283.1746897,       300.0218517,                 0,       5473.891774,        5485.823753,                  0,       0.06733991659,        0.06369704845,                    0,          299823.5025,           316495.5188,                     0,           115.4799636,           -116.1020189,                      0,        115.4791163,         116.1020185,                   0,                131.5185746,                 129.0180213,                           0,            -1.467468812e-05,             -5.661942915e-09,                          nan,                       1.138894883,                        1.111247013,                                nan,           298.4200331,            315.0140079,                      0,            6576.675208,             6506.707399,                       0,       7.254565376,      -1.591020557,                 0,                 0,                 0,      -4.094425959,       3.671893035,       -6.45579327,                 0,     -0.2193130083
