"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.03978560003,      -3.108760367,      -1.642560536,       2.414224628,                         9,      -4.223916856,               4,      -4.997582682,   2.026558648e-07,   1.252762022e-05,                12,              14.4,       14.25892672,         0.8773948813,         -0.8895965693,                     0,       0.661312334,       0.699916238,                 0,       282.7558502,       300.0090314,                 0,       12021.36761,        12363.97268,                  0,        0.1481092175,         0.1435668109,                    0,          308935.1287,           330952.0624,                     0,           179.7908087,           -188.0544554,                      0,        179.7927253,         188.0544554,                   0,                131.8138487,                 153.9470652,                           0,             2.132039321e-05,              1.379851788e-11,                          nan,                      0.7331433935,                       0.8186302464,                                nan,           307.4890078,            329.4028807,                      0,            16121.78226,             17148.80101,                       0,         1.3949083,      0.4819273741,                 0,                 0,                 0,      0.7636164878,      0.7741925509,       1.256443017,                 0,      0.3454903624
           1,     0.04053490004,       -3.30462591,      -1.014000809,       2.207251491,                        10,      -3.781027236,               4,      -4.070239815,   2.586267913e-07,   1.539417504e-05,                12,             17.28,       16.94639459,         0.9179941409,         -0.8895436346,                     0,      0.6710658327,      0.6998509845,                 0,       272.2591272,       300.0170399,                 0,       12062.29042,        12365.17572,                  0,        0.1543477719,         0.1435769475,                    0,          298175.3903,           330955.3904,                     0,           180.5211723,           -188.0299895,                      0,        180.5197478,         188.0299895,                   0,                129.1656593,                 153.9463019,                           0,              -1.5781347e-05,             -1.008122474e-10,                          nan,                      0.7155209383,                       0.8187327047,                                nan,           296.7796357,            329.4061931,                      0,            16312.29699,             17149.47092,                       0,       2.681927714,      0.9458614913,                 0,                 0,                 0,       1.492546277,       1.476292928,       2.430627371,                 0,      0.3526797111
           2,     0.04091436672,       -3.40926959,      -1.161113283,       2.115982033,                        10,      -3.340683278,               6,      -4.637929999,   2.560354791e-07,   1.875782311e-05,                12,            20.736,       20.20471657,          0.952860939,         -0.8895069483,                     0,       0.698568204,      0.6998061203,                 0,       267.4145846,       300.0228114,                 0,       12155.95753,        12365.97293,                  0,        0.1583631565,         0.1435834421,                    0,          294894.5441,           330957.9714,                     0,           182.6261243,           -188.0137303,                      0,        182.6225382,         188.0137302,                   0,                138.1497337,                  153.945259,                           0,            -3.927168154e-05,             -4.327586067e-10,                          nan,                      0.7564769118,                       0.8187979612,                                nan,            293.514147,             329.408762,                      0,            16841.00135,             17149.88998,                       0,       3.919398264,       1.285530939,                 0,                 0,                 0,        2.21716828,       2.218757266,       3.477267424,                 0,      0.3279919143
           3,         0.0409428,      -3.526783342,      -1.304099899,       2.005563803,                        10,      -2.871115893,               6,      -4.023236335,   2.546628662e-07,   2.263390502e-05,               1.2,            2.0736,       2.020471657,         0.9657892557,         -0.8894877086,                     0,      0.7241193994,      0.6997815208,                 0,       266.2189059,       300.0258424,                 0,       12188.95938,          12366.397,                  0,        0.1595026709,         0.1435869154,                    0,          295522.2827,           330959.2394,                     0,           183.7719376,           -188.0051157,                      0,        183.7722494,         188.0051156,                   0,                149.4136677,                 153.9442344,                           0,             3.393628865e-06,             -8.859750711e-10,                          nan,                      0.8130371599,                       0.8188300298,                                nan,           294.1389472,             329.410024,                      0,            17281.90111,             17150.10165,                       0,       5.105834859,       1.508318331,                 0,                 0,                 0,       2.942726011,       2.995760337,       4.401135512,                 0,      0.2954107159
           4,     0.03753154003,      -3.652585441,      -1.343850557,       1.870623932,                         4,      -4.840197851,               2,      -4.184294047,    2.53890094e-08,   2.262145522e-06,              1.44,           2.48832,       2.424565989,         0.9644903573,         -0.8894884478,                     0,      0.7275185496,      0.6997828984,                 0,       266.7587887,       300.0257641,                 0,       12191.75579,        12366.37508,                  0,          0.15921496,         0.1435866984,                    0,          296385.8272,           330959.2692,                     0,           183.8535311,            -188.005556,                      0,        183.8545417,         188.0055559,                   0,                151.4572045,                 153.9444017,                           0,              1.09943268e-05,             -9.417676639e-10,                          nan,                      0.8237882134,                       0.8188290016,                                nan,           294.9984495,            329.4100537,                      0,            17339.54647,             17150.09234,                       0,       5.415008937,       1.542070978,                 0,                 0,                 0,       3.133108407,        3.21363339,       4.623079615,                 0,      0.2847771806
           5,        0.03532905,      -3.681435092,      -1.317020842,       1.838158371,                         4,       -4.35868294,               3,      -5.768682427,   3.050229586e-08,   2.714351783e-06,             1.728,          2.985984,       2.909479187,         0.9626150481,         -0.8894898987,                     0,      0.7304666053,      0.6997848236,                 0,       267.3553884,       300.0256596,                 0,       12192.16759,        12366.34978,                  0,        0.1588641233,         0.1435864547,                    0,          297279.2734,           330959.3164,                     0,           183.8999896,           -188.0061819,                      0,        183.9012717,         188.0061818,                   0,                153.3370942,                 153.9446258,                           0,             1.394367901e-05,             -1.024166751e-09,                          nan,                      0.8338011626,                       0.8188274676,                                nan,           295.8877134,            329.4101007,                      0,            17386.97142,             17150.08671,                       0,       5.692790324,       1.566545968,                 0,                 0,                 0,       3.306076361,       3.413089806,       4.817960764,                 0,      0.2751806898
           6,     0.03406368572,      -3.718420574,      -1.292159956,       1.797513269,                         5,      -4.850636845,               3,      -5.390725759,   3.669255409e-08,   3.256217115e-06,            2.0736,         3.5831808,       3.491375024,         0.9601754014,         -0.8894922625,                     0,       0.732734898,      0.6997874753,                 0,       268.0115189,       300.0255027,                 0,        12190.3316,        12366.31905,                  0,        0.1584508645,          0.143586173,                    0,          298187.2552,            330959.367,                     0,            183.912247,           -188.0070503,                      0,        183.9134993,         188.0070502,                   0,                154.9400372,                 153.9449182,                           0,             1.361883518e-05,             -1.142648309e-09,                          nan,                      0.8424614714,                       0.8188252411,                                nan,           296.7914451,            329.4101511,                      0,            17420.56193,             17150.08468,                       0,       5.899617565,       1.577751831,                 0,                 0,                 0,       3.437492885,       3.566043463,       4.957632729,                 0,      0.2674328994
           7,     0.03313547501,      -3.747848563,      -1.282700946,       1.765204202,                         5,      -4.356125106,               3,      -5.027568722,   4.420770746e-08,   3.905301623e-06,           2.48832,        4.29981696,       4.189650029,         0.9572489517,         -0.8894956203,                     0,      0.7340876059,      0.6997910072,                 0,       268.7260103,       300.0252591,                 0,       12186.77552,        12366.27956,                  0,        0.1579833315,          0.143585831,                    0,            299089.08,           330959.3963,                     0,           183.8948914,           -188.0082078,                      0,        183.8959454,         188.0082077,                   0,                156.1440412,                 153.9452848,                           0,             1.146262713e-05,             -1.300683894e-09,                          nan,                      0.8490890915,                       0.8188221496,                                nan,           297.6890484,            329.4101802,                      0,            17437.12477,             17150.08396,                       0,       5.998960627,       1.573243415,                 0,                 0,                 0,       3.504634571,       3.645774663,        5.01706593,                 0,      0.2622526655
           8,     0.03275982223,      -3.752304607,      -1.293296102,       1.760036389,                         6,      -4.648879145,               3,      -4.675223093,   5.334972631e-08,   4.682614713e-06,          2.985984,       5.159780352,       5.027580035,         0.9539771161,         -0.8894998552,                     0,      0.7343080932,      0.6997954981,                 0,       269.4893865,       300.0248919,                 0,         12182.364,         12366.2269,                  0,        0.1574788362,         0.1435853954,                    0,          299956.1216,           330959.3702,                     0,           183.8541097,           -188.0096734,                      0,        183.8548919,         188.0096733,                   0,                156.8298852,                 153.9457217,                           0,             8.508769571e-06,             -1.488114409e-09,                          nan,                      0.8530090417,                       0.8188180905,                                nan,           298.5520314,            329.4101542,                      0,            17434.29091,             17150.07966,                       0,        5.97444194,       1.553841024,                 0,                 0,                 0,       3.496597964,        3.63909022,       4.986521914,                 0,      0.2600813666
           9,         0.0323229,      -3.738494029,      -1.319776168,       1.775402971,                         6,      -4.155640249,               3,      -4.337089063,    6.40748187e-08,   5.613338463e-06,         3.5831808,       6.191736422,       6.033096042,         0.9505489179,         -0.8895046343,                     0,      0.7332405072,       0.699800902,                 0,       270.2795081,       300.0243732,                 0,       12178.10336,        12366.15682,                  0,         0.156963666,         0.1435848298,                    0,          300750.5077,            330959.254,                     0,           183.7949938,           -188.0114241,                      0,        183.7954866,         188.0114239,                   0,                156.9000675,                  153.946214,                           0,             5.362607795e-06,             -1.678350126e-09,                          nan,                      0.8536665968,                       0.8188130846,                                nan,            299.342699,            329.4100386,                      0,            17410.96838,             17150.06516,                       0,       5.845342713,       1.524695895,                 0,                 0,                 0,       3.423953604,       3.557648015,       4.882199259,                 0,      0.2608394357
