"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,         0.0680415,      -2.361272282,     -0.6027454903,       3.144473305,                         9,      -4.278416798,               3,      -4.249947549,   1.045401724e-07,   0.0002965058928,                12,              14.4,       14.25520086,          11.28705082,            -11.808173,                     0,      0.4769989707,      0.4998902928,                 0,       290.6522614,       300.0114587,                 0,       5341.506519,        5490.806702,                  0,       0.06402094285,        0.06375711512,                    0,          305308.0006,           316486.9203,                     0,           141.6229337,           -148.7739551,                      0,        141.6229544,         148.7739551,                   0,                80.74866108,                  89.4165851,                           0,             2.913670938e-07,             -1.284888862e-10,                          nan,                      0.5701664779,                       0.6010231094,                                nan,           303.8788583,            315.0054496,                      0,            6241.762086,                6512.788,                       0,       4.262113358,     -0.1391648689,                 0,                 0,                 0,      -2.465203454,       3.581668996,      -2.314438234,                 0,    -0.03265161136
           1,        0.07534575,      -2.602137575,     -0.3588366111,       2.890208954,                        10,      -3.933968286,               4,      -4.425957422,   1.069972358e-07,   0.0003558095199,                12,             17.28,       16.97047605,          11.67474045,          -11.80697844,                     0,       0.482128768,      0.4998178736,                 0,       285.2095713,       300.0201234,                 0,       5370.116802,        5491.377284,                  0,       0.06559304609,        0.06376189896,                    0,          299872.4486,           316491.6963,                     0,           142.9831131,           -148.7477438,                      0,        142.9803161,         148.7477438,                   0,                78.73368859,                  89.4162462,                           0,             -3.91231264e-05,             -4.013750443e-10,                          nan,                      0.5506610333,                       0.6011267393,                                nan,           298.4687501,            315.0102033,                      0,            6295.891831,             6513.150406,                       0,       7.521104739,     -0.4678307669,                 0,                 0,                 0,      -4.491822188,        6.20589439,      -4.274664542,                 0,    -0.06220240019
           2,         0.0747091,       -2.75213327,     -0.4521051532,       2.748433108,                        10,       -3.33849682,               5,      -4.410181684,   9.037044504e-08,   0.0004269767311,                12,            20.736,       20.26196467,          12.21590867,          -11.80633209,                     0,      0.4976027024,      0.4997799789,                 0,         282.74145,       300.0248083,                 0,       5442.046723,        5491.660223,                  0,       0.06705200863,        0.06376418855,                    0,          298139.2158,           316494.3547,                     0,           146.3637095,           -148.7342602,                      0,        146.3564019,         148.7342601,                   0,                81.92332125,                 89.41576656,                           0,            -9.985214022e-05,             -7.156898407e-10,                          nan,                      0.5597522225,                       0.6011780103,                                nan,           296.7436305,            315.0128493,                      0,            6445.277625,             6513.321503,                       0,       10.44427508,     -0.6466905493,                 0,                 0,                 0,      -6.486563907,       8.619420824,      -5.933521324,                 0,    -0.06191818429
           3,        0.07392295,      -2.943121114,     -0.5055067212,       2.555627212,                        10,      -2.736379528,               5,      -4.009980929,   7.690784658e-08,    0.000512380379,               1.2,            2.0736,       2.026196467,          12.53357787,          -11.80614589,                     0,      0.5116165436,       0.499769457,                 0,        282.088345,       300.0256059,                 0,       5487.144008,        5491.725215,                  0,       0.06776360326,        0.06376477367,                    0,          298252.7264,            316494.562,                     0,           148.5882274,           -148.7305496,                      0,        148.5829063,         148.7305496,                   0,                87.14167933,                 89.41529534,                           0,            -7.162042939e-05,              -1.07852105e-09,                          nan,                      0.5864852257,                       0.6011898403,                                nan,           296.8566097,            315.0130556,                      0,            6560.255028,             6513.352915,                       0,       11.66295226,     -0.5836169201,                 0,                 0,                 0,      -7.377466775,       9.696516369,      -6.507121818,                 0,    -0.05004023915
           4,        0.06752208,      -3.026433678,      -0.473686705,       2.473897658,                         4,      -4.690374483,               2,      -4.621507766,   6.942591129e-09,   5.123890454e-05,              1.44,           2.48832,        2.43143576,           12.5558523,          -11.80621083,                     0,      0.5136129046,      0.4997737751,                 0,       282.4213999,       300.0249781,                 0,       5493.342681,        5491.687886,                  0,        0.0677599184,        0.06376447367,                    0,          298720.8625,             316494.16,                     0,           148.8567452,           -148.7320675,                      0,        148.8531295,         148.7320674,                   0,                88.21364342,                 89.41532826,                           0,            -4.857830894e-05,             -1.209014111e-09,                          nan,                      0.5926220276,                       0.6011839263,                                nan,           297.3225545,            315.0126554,                      0,            6576.566273,             6513.327384,                       0,       11.67681441,     -0.5647252335,                 0,                 0,                 0,      -7.403338208,       9.718128494,       -6.49806802,                 0,    -0.04836295358
           5,     0.06317056667,       -3.02813383,      -0.480588453,       2.470338729,                         4,      -4.234261197,               2,      -4.347827345,   8.283615554e-09,   6.148680303e-05,             1.728,          2.985984,       2.917722912,           12.5565717,          -11.80629399,                     0,      0.5151648368,      0.4997788093,                 0,       282.7445903,       300.0242901,                 0,       5495.943168,        5491.648704,                  0,       0.06771431865,        0.06376416494,                    0,          299153.2728,           316493.7376,                     0,           148.9629996,           -148.7338353,                      0,        148.9605534,         148.7338352,                   0,                89.25318329,                 89.41539434,                           0,            -3.284313695e-05,             -1.420497053e-09,                          nan,                      0.5991732795,                       0.6011772253,                                nan,           297.7529408,             315.012235,                      0,            6586.626116,             6513.302764,                       0,       11.60379497,      -0.538721608,                 0,                 0,                 0,      -7.369140321,       9.668931472,      -6.438170769,                 0,    -0.04642632944
           6,     0.06095238571,      -3.022470528,     -0.4931082045,       2.474719964,                         5,      -4.766885418,               2,      -4.086636625,   9.922432284e-09,    7.37843179e-05,            2.0736,         3.5831808,       3.501267494,          12.53649918,          -11.80639926,                     0,      0.5162194948,      0.4997846841,                 0,       283.0600432,       300.0235269,                 0,       5495.020745,        5491.607818,                  0,       0.06762736815,        0.06376385241,                    0,          299548.7869,           316493.2865,                     0,           148.9146347,           -148.7358904,                      0,        148.9128725,         148.7358903,                   0,                90.21229324,                 89.41550661,                           0,            -2.366704175e-05,             -1.740896205e-09,                          nan,                      0.6058058765,                       0.6011696736,                                nan,           298.1466034,            315.0117861,                      0,            6590.249647,             6513.279771,                       0,       11.45203722,      -0.509326542,                 0,                 0,                 0,      -7.278221441,       9.553989269,      -6.334813261,                 0,    -0.04447475433
           7,      0.0592124375,      -3.016722811,     -0.5056284451,       2.479894304,                         5,      -4.326188859,               3,       -5.64386067,   1.193456325e-08,   8.854137902e-05,           2.48832,        4.29981696,       4.201520993,          12.49952611,          -11.80652746,                     0,      0.5167650648,      0.4997914482,                 0,       283.3741897,       300.0226714,                 0,       5491.212485,        5491.565031,                  0,       0.06750549743,        0.06376353742,                    0,          299913.2492,           316492.7917,                     0,           148.7428414,           -148.7382402,                      0,        148.7414277,         148.7382401,                   0,                91.03524457,                 89.41567631,                           0,             -1.90084063e-05,             -2.184781134e-09,                          nan,                      0.6120369153,                       0.6011613171,                                nan,           298.5093596,            315.0112936,                      0,             6588.12473,             6513.258384,                       0,       11.24922191,     -0.4818140716,                 0,                 0,                 0,      -7.147861105,       9.394312591,      -6.206772866,                 0,     -0.0428308798
           8,     0.05826146667,      -3.014010616,     -0.5122570839,       2.482781673,                         6,      -4.733464865,               3,      -5.290297955,   1.440260871e-08,    0.000106249901,          2.985984,       5.159780352,       5.041825192,          12.45198802,          -11.80667413,                     0,       0.516820696,      0.4997989942,                 0,       283.6966586,       300.0217139,                 0,       5485.640539,        5491.519954,                  0,       0.06736030713,        0.06376321752,                    0,          300257.7899,           316492.2363,                     0,           148.4963034,           -148.7408344,                      0,        148.4950831,         148.7408342,                   0,                91.66204659,                 89.41590914,                           0,            -1.643547648e-05,             -2.728073434e-09,                          nan,                      0.6172732773,                        0.601152398,                                nan,           298.8522876,            315.0107408,                      0,            6581.676803,             6513.237673,                       0,       11.03603231,     -0.4619604656,                 0,                 0,                 0,      -7.006227088,       9.221798799,      -6.079954243,                 0,    -0.04185928896
           9,        0.05750368,      -3.010980035,     -0.5110639632,       2.486723215,                         6,      -4.329371065,               3,      -4.946228817,   1.742385268e-08,   0.0001275001777,         3.5831808,       6.191736422,        6.05019023,          12.40085792,          -11.80682854,                     0,      0.5164119952,       0.499806985,                 0,       284.0367786,       300.0206693,                 0,       5479.610948,        5491.472642,                  0,        0.0672056884,        0.06376289017,                    0,          300593.6728,           316491.6159,                     0,           148.2266886,           -148.7435434,                      0,        148.2256301,         148.7435431,                   0,                  92.033833,                 89.41620179,                           0,            -1.428170789e-05,             -3.286165784e-09,                          nan,                      0.6209036381,                       0.6011434172,                                nan,           299.1865983,            315.0101233,                      0,            6572.592134,             6513.216244,                       0,       10.85571366,     -0.4535818048,                 0,                 0,                 0,      -6.885238156,       9.071550874,      -5.979901356,                 0,    -0.04178277165
