s,TI_1.0,TI_1.5,TI_2.0,TI_2.5,TI_3.0,TI_3.5,TI_4.0,TI_4.5,TI_5.0
1.0,0.7255948623093036,0.7269608612404824,0.7236192106470591,0.7224552812670748,0.7211212768106243,0.7198260708266659,0.7199544856222055,0.7206329276910955,0.7217602189279134
0.9991768544921017,0.7252589660365166,0.7267077282020125,0.7231164455513304,0.7217323075213166,0.7202389758360145,0.7188265780958913,0.7187610177684749,0.7193252822871862,0.7203785598369015
0.9983537370607453,0.7252066469455543,0.7267432853314447,0.7228517237918012,0.7212512381644743,0.7196265467206723,0.7181031810251804,0.7178967696456133,0.7183907610157887,0.7194112189703957
0.9975307306941755,0.7255049751988052,0.7271017385004119,0.7229812990909225,0.7212769864129895,0.7196266928946109,0.7181089666695105,0.7179422362808107,0.7184808621687739,0.719534832412062
0.9967077787981572,0.7258958736760127,0.7275018609561518,0.7232940117901566,0.7216420522356197,0.7200838680095298,0.7187130740957187,0.7187753601916537,0.7194666052709965,0.7205773620682181
0.9958849462919853,0.7260332368613566,0.7275686409234767,0.7235044350607319,0.7220246415934451,0.7206821026400074,0.7195087912445017,0.7198814301329717,0.7207557220881945,0.721966418220964
0.9950622730594597,0.7265545930028501,0.7280184711597163,0.7241580587173865,0.7227917229973483,0.7215630154985397,0.7205164789000205,0.7210414494448321,0.7219908648328163,0.7232531088382298
0.9942397858929857,0.7294812926807179,0.7309319900581138,0.7270912069780755,0.7256643464227918,0.7243634481711811,0.7232998284722905,0.7237602640919396,0.7246596169933908,0.7258782049652315
0.993417458016236,0.7356625436163359,0.73714266453561,0.733175676425917,0.7316101874150306,0.7301977611178059,0.7290960746436611,0.7294745326634045,0.7303262444641035,0.7314719143285626
0.9925951700460338,0.7452768051166686,0.7468042035578505,0.7426341319259683,0.7409144153243706,0.73939799307292,0.7383109048027306,0.7386869667346487,0.7395515117212013,0.7406571903458409
0.9917727754025045,0.7577952020101386,0.7593907539179828,0.7549320811687013,0.7530259525073553,0.7513833057849836,0.7503271143144573,0.7507277117127671,0.7516336562600606,0.7527127492858878
0.9909501977728773,0.7712853983934855,0.7729797519797795,0.7681571604140535,0.7660454550995274,0.7642346366977192,0.763180079035071,0.763595038645868,0.7645458097830073,0.7656476754870473
0.9901274277130946,0.7819123674964448,0.7837135928170352,0.7785805228437783,0.7763255195425176,0.7743517645979554,0.7732644749704365,0.7736786919061257,0.7746591343764705,0.7757800757685571
