s,inc_-2.0,inc_+0.0,inc_+2.0
1.0,0.49490129570739916,0.49409322573037173,0.49338056629276195
0.9991763555880849,0.4948456484463507,0.49409790351978283,0.49343988455569776
0.9983527340995095,0.4965937557741598,0.4959275271439843,0.49541066333536987
0.9975292237765837,0.49813802045954003,0.49751370180252863,0.49707221666960727
0.9967057478739336,0.4992677683540173,0.49864809153052303,0.49822029692452835
0.9958823581786349,0.49932147211051653,0.49867731867512916,0.4982094091538838
0.9950590695411862,0.4985699327420431,0.4978812935386575,0.4973651499477406
0.9942358813143564,0.4977674030738377,0.4970121891520423,0.49647129678372454
0.9934127601593175,0.4976966698238019,0.4969097408841614,0.4963662917618542
0.9925896357500437,0.4995639202603391,0.49885353332588217,0.49835054233700626
0.991766438134779,0.5053015015894766,0.5047430867453904,0.5043355310406842
0.9909431306460653,0.5151480795373413,0.5146534599831314,0.5142960368406534
0.9901197069258907,0.5241722155334572,0.5236226700837693,0.5232232948913562
0.9892961978074488,0.5241545411949429,0.5235410755180403,0.5230807099838642
0.988472512104217,0.5172239623267567,0.5165735037123257,0.5160748738591735
0.9876487251903967,0.5151840945029782,0.5145286281713839,0.5140232728651951
0.9834708899442312,0.4858750686511143,0.4852193409943016,0.484700255050758
0.9801168333241166,0.47663715777181975,0.4759973868405631,0.47549200136559466
0.9767627765117172,0.46801996398809237,0.46739799136428867,0.46689847541611595
0.9734087202255364,0.46147091335835355,0.46086704822501356,0.460381299065798
0.9700546637373042,0.45564100296005905,0.45505339352775576,0.4545779618215935
0.9667006078662461,0.45063500061391665,0.45006494928421437,0.4496008705209052
0.9633465512014678,0.4460034496310698,0.44544927798342604,0.44499725236553617
0.9599924954605622,0.44181648034851245,0.4412788205577405,0.4408384210549226
0.9566384392390317,0.43795834845063114,0.43743615011193354,0.437007407197147
0.9532843827443993,0.4342868890215282,0.4337794981136102,0.43336223472286034
0.94993032642866,0.4308288257119658,0.4303373072882385,0.4299316311040117
0.9465762699658371,0.4275636792191884,0.4270861606453662,0.4266917095477343
0.9432222133382049,0.4244360521648102,0.42397319930248784,0.4235902761944887
0.9398681565359996,0.4214391950807721,0.4209910661911016,0.42061877348007976
0.9365141002644194,0.4185689578237327,0.41813370297884905,0.41777264368166533
0.9331600436752212,0.4157664394475251,0.4153461945573043,0.4149960794283943
0.9298059870615001,0.4130392861060215,0.412631044558877,0.412291341136334
0.9264519308260234,0.41042242570637427,0.41002797685820996,0.4096995320546013
0.9230978742636998,0.40788388302229406,0.40750189782453894,0.4071836723991432
0.9197438178414926,0.40539710287124286,0.40502726748645995,0.40472016851971887
0.9163897615205466,0.40295236002389834,0.40259490347453253,0.40229783621745846
0.9130357050071806,0.40055562921058896,0.40021013949475337,0.39992402816799355
0.9096816486460259,0.39821909445313025,0.3978855932892993,0.3976093218715493
0.9063275921378143,0.3959342947043223,0.395612148585636,0.3953462190310116
0.9029735356434265,0.3936867337228722,0.39337596425234833,0.3931202236439242
0.8996194794200522,0.39146829772687786,0.3911693207620403,0.3909229676714087
0.8962654223786702,0.3892739221138439,0.3889852352789185,0.38874927018153277
0.8929113659097055,0.3871324973851058,0.38685515934411757,0.38662910891665264
0.8895573098573999,0.38505171184448345,0.38478457266688837,0.3845680008182081
