PS,,SS,
x [m],y [m],x [m],y [m]
0.00696869,0.00176660,0.00466057,0.00653173
0.00702320,0.00178551,0.00471567,0.00656822
0.00707774,0.00180431,0.00477090,0.00660452
0.00713232,0.00182301,0.00482626,0.00664062
0.00718693,0.00184162,0.00488175,0.00667652
0.00724158,0.00186012,0.00493737,0.00671222
0.00729626,0.00187853,0.00499312,0.00674772
0.00735097,0.00189683,0.00504899,0.00678302
0.00740572,0.00191503,0.00510499,0.00681813
0.00746051,0.00193312,0.00516112,0.00685303
0.00751533,0.00195111,0.00521736,0.00688773
0.00757018,0.00196899,0.00527373,0.00692224
0.00762507,0.00198676,0.00533023,0.00695654
0.00767999,0.00200442,0.00538684,0.00699064
0.00773495,0.00202197,0.00544358,0.00702454
0.00778995,0.00203941,0.00550043,0.00705824
0.00784498,0.00205674,0.00555741,0.00709174
0.00790005,0.00207395,0.00561450,0.00712503
0.00795515,0.00209105,0.00567171,0.00715812
0.00801029,0.00210803,0.00572904,0.00719101
0.00806546,0.00212489,0.00578648,0.00722370
0.00812067,0.00214164,0.00584404,0.00725618
0.00817592,0.00215826,0.00590171,0.00728845
0.00823120,0.00217477,0.00595950,0.00732053
0.00828652,0.00219115,0.00601740,0.00735239
0.00834188,0.00220741,0.00607542,0.00738406
0.00839727,0.00222355,0.00613354,0.00741551
0.00845270,0.00223956,0.00619178,0.00744676
0.00850816,0.00225544,0.00625013,0.00747780
0.00856366,0.00227120,0.00630859,0.00750864
0.00861920,0.00228683,0.00636715,0.00753927
0.00867477,0.00230234,0.00642583,0.00756968
0.00873038,0.00231771,0.00648461,0.00759989
0.00878602,0.00233295,0.00654350,0.00762989
0.00884170,0.00234806,0.00660250,0.00765969
0.00889742,0.00236304,0.00666160,0.00768927
0.00895317,0.00237789,0.00672081,0.00771863
0.00900896,0.00239260,0.00678012,0.00774779
0.00906478,0.00240718,0.00683954,0.00777674
0.00912064,0.00242162,0.00689906,0.00780547
0.00917653,0.00243593,0.00695868,0.00783399
0.00923246,0.00245009,0.00701840,0.00786230
0.00928842,0.00246412,0.00707822,0.00789039
0.00934442,0.00247801,0.00713815,0.00791826
0.00940045,0.00249177,0.00719817,0.00794592
0.00945652,0.00250538,0.00725830,0.00797337
0.00951262,0.00251884,0.00731852,0.00800060
0.00956875,0.00253217,0.00737884,0.00802761
0.00962492,0.00254535,0.00743926,0.00805440
0.00968112,0.00255839,0.00749977,0.00808097
0.00973735,0.00257129,0.00756038,0.00810732
0.00979362,0.00258403,0.00762109,0.00813346
0.00984992,0.00259664,0.00768189,0.00815937
0.00990626,0.00260909,0.00774278,0.00818506
0.00996262,0.00262140,0.00780377,0.00821053
0.01001902,0.00263356,0.00786485,0.00823578
0.01007545,0.00264557,0.00792602,0.00826080
0.01013192,0.00265743,0.00798728,0.00828560
0.01018841,0.00266914,0.00804864,0.00831017
0.01024493,0.00268069,0.00811008,0.00833452
0.01030149,0.00269210,0.00817161,0.00835864
0.01035808,0.00270335,0.00823323,0.00838254
0.01041469,0.00271445,0.00829494,0.00840621
0.01047134,0.00272539,0.00835674,0.00842965
0.01052802,0.00273618,0.00841862,0.00845286
0.01058472,0.00274682,0.00848058,0.00847584
0.01064146,0.00275729,0.00854264,0.00849859
0.01069822,0.00276761,0.00860477,0.00852111
0.01075501,0.00277777,0.00866699,0.00854340
0.01081183,0.00278778,0.00872930,0.00856545
0.01086868,0.00279762,0.00879168,0.00858727
0.01092556,0.00280731,0.00885415,0.00860886
0.01098246,0.00281683,0.00891670,0.00863021
0.01103939,0.00282619,0.00897932,0.00865133
0.01109635,0.00283539,0.00904203,0.00867221
0.01115333,0.00284443,0.00910482,0.00869285
0.01121033,0.00285331,0.00916768,0.00871326
0.01126737,0.00286202,0.00923062,0.00873342
0.01132442,0.00287057,0.00929363,0.00875335
0.01138151,0.00287895,0.00935672,0.00877304
0.01143861,0.00288717,0.00941989,0.00879248
0.01149574,0.00289522,0.00948313,0.00881169
0.01155290,0.00290311,0.00954644,0.00883065
0.01161007,0.00291083,0.00960983,0.00884937
0.01166727,0.00291838,0.00967328,0.00886785
0.01172449,0.00292576,0.00973681,0.00888608
0.01178173,0.00293297,0.00980041,0.00890406
0.01183899,0.00294002,0.00986408,0.00892180
0.01189628,0.00294689,0.00992781,0.00893930
0.01195358,0.00295360,0.00999161,0.00895654
0.01201090,0.00296013,0.01005548,0.00897354
0.01206825,0.00296649,0.01011942,0.00899028
0.01212561,0.00297269,0.01018342,0.00900678
0.01218299,0.00297871,0.01024748,0.00902303
0.01224038,0.00298455,0.01031161,0.00903902
0.01229780,0.00299023,0.01037579,0.00905477
0.01235523,0.00299573,0.01044005,0.00907026
0.01241268,0.00300105,0.01050436,0.00908549
0.01247014,0.00300621,0.01056873,0.00910047
0.01252762,0.00301118,0.01063316,0.00911520
0.01258511,0.00301599,0.01069765,0.00912967
0.01264262,0.00302061,0.01076219,0.00914389
0.01270014,0.00302507,0.01082679,0.00915784
0.01275768,0.00302934,0.01089145,0.00917154
0.01281523,0.00303344,0.01095616,0.00918498
0.01287279,0.00303736,0.01102092,0.00919816
0.01293036,0.00304111,0.01108574,0.00921108
0.01298795,0.00304467,0.01115061,0.00922374
0.01304554,0.00304806,0.01121553,0.00923614
0.01310315,0.00305127,0.01128049,0.00924827
0.01316076,0.00305430,0.01134551,0.00926014
0.01321838,0.00305716,0.01141057,0.00927175
0.01327602,0.00305983,0.01147568,0.00928310
