s,TI_4.0,TI_5.0
1.0,0.4944159859026414,0.49503840263023335
0.9991763555880849,0.49440147319397615,0.4949873871923563
0.9983527340995095,0.4962064335375083,0.4967224873494683
0.9975292237765837,0.4977835083936341,0.4982682038153661
0.9967057478739336,0.4989177649972127,0.4994268781242415
0.9958823581786349,0.498966726488709,0.4994924449131641
0.9950590695411862,0.4981997891306768,0.49875105792282004
0.9942358813143564,0.4973439260113006,0.4979095714393513
0.9934127601593175,0.4972157430975927,0.4977874307489917
0.9925896357500437,0.4991647503928265,0.4997151668849579
0.991766438134779,0.505120726611082,0.5056309575487768
0.9909431306460653,0.5151049133700997,0.5156088412842669
0.9901197069258907,0.5241007944164856,0.5246337883157228
0.9892961978074488,0.5240027113439804,0.5245592932746306
0.988472512104217,0.5170123314759686,0.5175817566404384
0.9876487251903967,0.5149413039143871,0.5155002441714606
0.9834708899442312,0.48559673875440434,0.48618865273968176
0.9801168333241166,0.47636397717588164,0.47695639037954696
0.9767627765117172,0.4677583051221881,0.4683519218645854
0.9734087202255364,0.4612210702663294,0.46181092410302255
0.9700546637373042,0.45540097193533674,0.4559853328272392
0.9667006078662461,0.4504060756517138,0.4509834625404104
0.9633465512014678,0.4457840316735114,0.4463537711296872
0.9599924954605622,0.44160729334917204,0.44216888939147314
0.9566384392390317,0.4377584926564947,0.43831172546718394
0.9532843827443993,0.4340959227926576,0.43464075247949696
0.94993032642866,0.4306479491140119,0.4311843628379021
0.9465762699658371,0.42739122108701516,0.4279193146678582
0.9432222133382049,0.42427285745430354,0.4247927575524762
0.9398681565359996,0.4212855444304285,0.4217974462100775
0.9365141002644194,0.41842317481468094,0.4189272434300442
0.9331600436752212,0.415630834592879,0.4161272734852345
0.9298059870615001,0.4129109908023808,0.4133999809697694
0.9264519308260234,0.4103033811441621,0.41078510992610545
0.9230978742636998,0.4077729584851214,0.4082476460648891
0.9197438178414926,0.4052941430418134,0.4057619935097014
0.9163897615205466,0.4028577423341,0.40331895459215455
0.9130357050071806,0.4004690508797177,0.40092378976461673
0.9096816486460259,0.39814070007429103,0.3985891348912983
0.9063275921378143,0.39586360574518015,0.39630592584798674
0.9029735356434265,0.39362391768792543,0.39406030239995915
0.8996194794200522,0.3914138628532952,0.3918444581474865
0.8962654223786702,0.3892264626526144,0.38965142928841134
0.8929113659097055,0.3870931587382878,0.38751260976508267
0.8895573098573999,0.38501947973863787,0.3854335681861704
0.8862032535690886,0.3829629753658115,0.383371892366783
0.8828491971040434,0.38090973816445095,0.38131366043050696
0.8794951410116519,0.37888500406073994,0.3792839318685064
0.8761410851467364,0.37691001674276586,0.37730415718697474
0.8727870289964236,0.37493943131121893,0.3753289179822509
0.8694329722998781,0.37298216674341955,0.3733670952060969
0.8660789162908842,0.3710429162052122,0.37142342729530575
0.8627248607753201,0.3691546490769965,0.3695307812830947
0.8593708044772415,0.3672900239580053,0.36766195631836696
0.8560167481373189,0.36544062429146923,0.3658084588247984
0.8526626922981235,0.36359873457703684,0.36396260630551386
0.849308636332321,0.3617652534186296,0.36212524729117285
0.845954580120884,0.3599423580990962,0.3602985600188367
0.8426005243289676,0.3581472783706244,0.35849975540804224
0.8392464686236052,0.3563805587289442,0.35672940827914645
0.8358924126082216,0.35463302270350244,0.35497837101570506
0.8325383565413692,0.35289732337358976,0.3532392778393624
0.8291843007489735,0.35117490568131365,0.35151355039957205
0.8258302449943415,0.349464836817008,0.3498002441110343
0.8224761891221798,0.3477686018597833,0.34810086597611845
0.8191221334000162,0.3460845841869873,0.34641376343439423
0.8157680774644116,0.34441443058211807,0.3447406025614496
0.8124140216592354,0.34276296714499127,0.34308616984201107
0.809059966252352,0.3411342259087383,0.34145453958993605
0.8057059107335339,0.3395210186332408,0.339838517271449
0.8023518547953278,0.3379112523516495,0.3382260042260185
0.7989977988335688,0.336305306539624,0.33661734724359266
0.7956437434680065,0.3347131350009291,0.33502244666110226
0.7922896880306444,0.333138399187403,0.3334450027357205
0.788935632483947,0.3315802061361667,0.3318841099909402
0.7855815767932782,0.3300334974566471,0.33033473301433003
0.7822275208046776,0.328499825425764,0.32879838051371674
0.7788734655380879,0.3269816863902125,0.32727757621558035
0.7755194106496043,0.32548034573841383,0.32577361801865923
0.7721653554480303,0.32399148227879115,0.324282103772314
0.7688112997672568,0.3225068811410718,0.322794835085201
0.7654572438001663,0.3210276462620759,0.3213128745644889
0.7621031894046134,0.31956172584061715,0.3198441516366362
0.7587491346799143,0.3181122148420779,0.3183918005655992
0.7553950793105125,0.31668062113164525,0.31695737166496635
0.7520410239841533,0.31526492339232154,0.31553892840353515
0.7486869691308589,0.31386555511129516,0.31413683238504403
0.7453329142549294,0.3124740489351815,0.31274271348459465
0.7419788588267572,0.3110838501287166,0.31134988146378123
0.7386248035135927,0.3096976899180323,0.30996111383879726
0.7352707486454766,0.30833046017941235,0.30859124265508503
0.7319166940484028,0.3069864909023251,0.30724472146132575
0.7285626392484927,0.30565782777826983,0.3059135941140532
0.7252085840404394,0.30433221535482524,0.3045855371452611
0.721854528942604,0.3030101790817534,0.30326100189357613
0.7185004741324964,0.3016982717633776,0.3019464425241402
0.715146419449919,0.30040402376952574,0.3006494309305526
0.7117923646729487,0.2991247225708932,0.2993672438973918
0.7084383097974508,0.29786104966250504,0.2981005443390822
0.7050842547941846,0.2966100805535976,0.296846395111682
0.7017302001797772,0.2953721777737643,0.29560512701518576
0.6983761456494051,0.2941445953740486,0.29437401608835523
0.6950220910231947,0.29292646402698885,0.29315220165275807
0.6916680366086947,0.29171843406847986,0.2919403847820686
0.688313981943537,0.2905187877683808,0.2907368997968987
0.6849599272886716,0.28932941724105277,0.28954370681776165
0.6816058730978107,0.2881570671080965,0.28836764766925826
0.6782518198716992,0.287003352670672,0.2872104261362433
0.6748977656636259,0.28586505375054383,0.2860688517179393
0.6715437108977288,0.28473178917411107,0.2849324266783612
0.6681896551187324,0.283603842116682,0.2838012735953606
0.6648356005199335,0.2824862804703524,0.2826803486936811
0.661481546432586,0.28138715175825596,0.2815776763016593
0.6581274924445647,0.28030367560980635,0.28049050230183814
0.6547734380141902,0.27923242593399433,0.27941540734924336
0.651419383484947,0.2781684730024226,0.2783474672395738
0.64806532925822,0.2771135747889918,0.2772884997737426
0.6447112753273192,0.2760717714062845,0.27624266178960694
0.6413572213597005,0.2750414379953852,0.2752084069292859
0.6380031671597503,0.27402568704573993,0.2741888476292177
0.6346491132090369,0.273021084212494,0.27318048883623
0.6312950593127906,0.2720303075594617,0.2721858680252183
0.6279410055208654,0.27105024793661797,0.27120178103389364
0.6245869516031151,0.2700796673028569,0.27022684467944635
0.6212328971745915,0.2691194553549387,0.26926190465495364
0.617878843365698,0.2681708148732797,0.26830812525523
0.6145247896959313,0.2672354556221609,0.26736730177039675
0.6111707358816211,0.26631285752436495,0.26643903776092104
0.6078166821186729,0.26540077507080906,0.2655213130945852
0.6044626282458344,0.2644991106092675,0.2646143731605209
0.6011085744558597,0.2636076842704715,0.26371854714791837
0.5977545210018579,0.2627277840761108,0.2628356892822722
0.5944004672388062,0.2618573050436113,0.26196423219677856
0.5910464134250344,0.2609978811275981,0.26110605039658735
0.5876923597993394,0.2601448112571665,0.2602564203069181
0.5843383064138986,0.25930230442762364,0.2594191402286494
0.5809842531769852,0.25846282926979425,0.2585860933321294
0.5776301992667987,0.2576261035031554,0.2577562857648167
0.5742761446526476,0.25679547564808625,0.25693251205249434
0.5709220914494277,0.2559807769547058,0.2561242378791225
0.567568039256666,0.25518794832401615,0.2553373673973917
0.5642139860364922,0.25440640357079897,0.2545607976853482
0.5608599318742956,0.25362542062597415,0.25378351338058147
0.5575058778696504,0.25284246587016623,0.2530032243074139
0.5541518243498239,0.25206772666587923,0.2522306809994957
0.5507977718804565,0.25130497278953884,0.25146841717839274
0.5474437187517155,0.2505553265838741,0.25071806434614957
0.5440896649983672,0.2498135270044912,0.24997592025964693
0.5407356114582029,0.24908064042692457,0.24924255858772035
0.5373815584313409,0.2483554642599798,0.2485170229466557
0.5340275052883742,0.247638672068649,0.2477999385384042
0.5306734518519091,0.24692780023322566,0.24708876179295022
0.5273193984449701,0.24622373167354977,0.24638428646423027
0.5239653453010554,0.24553045625678263,0.24569047858785642
0.5206112924011816,0.2448457551985658,0.24500519852847735
0.517257239421767,0.2441692714485728,0.24432795252803133
0.51390318555958,0.24349687881819224,0.24365464827659403
0.5105491309319123,0.2428304911295658,0.2429872392943315
0.5071950776507729,0.24217343498622043,0.24232909554694096
0.5038410260559602,0.24152968576235934,0.24168420475665167
0.5004869743437609,0.2408949216159003,0.24104826807729904
0.4971329212397214,0.240261248280841,0.24041339165809772
0.4937788677580642,0.23962488788520656,0.23977582803582523
0.49042481454770037,0.23899312888298194,0.23914285519516026
0.48707076179676073,0.23837406375393932,0.23852256911972142
0.48371670949674256,0.23776791160406635,0.23791518863584754
0.48036265637059866,0.23716795656785156,0.23731400910710831
0.47700860256814526,0.2365667797193347,0.23671161911301072
0.4736545492131788,0.23596978923423756,0.2361134213523227
0.4703004964677681,0.23537921775691428,0.23552163833437328
0.466946443858248,0.23480129528985308,0.23494249554950222
0.4635923911109833,0.2342292985479919,0.23436927048872463
0.46023833807364334,0.23365857666814557,0.23379731146572927
0.45688428495332306,0.2330871094309397,0.2332246266942829
0.45353023199649495,0.23252171380095096,0.2326580605353989
0.4501761795447471,0.23196999482271882,0.23210516603999143
0.44682212708670205,0.23142833773334198,0.23156234116274865
0.4434680741848426,0.23088859586415908,0.23102143809668974
0.4401140211363537,0.23034500268203192,0.23047669773633564
0.43675996821816365,0.22980477265766294,0.22993533471497124
0.4334059158311017,0.2292721120481025,0.2294015611210612
0.43005186373254894,0.2287519861502632,0.22888032138663614
0.4266978109273986,0.2282334720529098,0.22836070674597178
0.4233437577040975,0.22771896641955738,0.22784510891507398
0.4199897049868833,0.22720514414643514,0.22733021065429387
0.4166356528677324,0.22669905456976228,0.22682305024603291
0.41328160045793316,0.226199099031558,0.22632202902780824
0.40992754801762016,0.225706968693366,0.2258288373772484
0.40657349562658085,0.22522020808535806,0.22534101755066113
0.40321944345056193,0.22474212197370436,0.2248618735048041
0.39986539111500996,0.22426401991936723,0.22438273014538243
0.39651133864106547,0.22378654203067022,0.22390422651000763
0.39315728615633083,0.22331133780026652,0.22342801170849474
0.3898032342774677,0.2228492233807085,0.22296488145101534
0.3864491824292113,0.22239727575165638,0.22251191325448935
0.3830951303382508,0.2219506309831599,0.2220642410087062
0.37974107808159346,0.22150244992342227,0.22161505970293607
0.3763870259555801,0.2210600387673444,0.22117166086205028
0.3730329742723583,0.22062561627498634,0.22073625993649187
0.36967892262630014,0.2202007190876215,0.22031038657931826
0.3663248707547082,0.21978207973071692,0.21989077126617346
0.36297081873588005,0.21936962628439435,0.2194773504965205
0.35961676683654353,0.21896412909656532,0.21907087638128592
0.356262715639611,0.21856995347277217,0.2186756973729948
0.3529086642838171,0.21818599197929192,0.21829068459476308
0.34955461284745865,0.2178083398095617,0.21791202808492455
0.34620056097694674,0.21743526677637287,0.21753797033197045
0.3428465094013215,0.21707082132796443,0.21717250881087372
0.33949245861355665,0.21671483902051686,0.2168155163088525
